GFP (nM)	mCherry (nM)	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69	72	75	78	81	84	87	90	93	96	99	102	105	108	111	114	117	120	123	126	129	132	135	138	141	144	147	150	153	156	159	162	165	168	171	174	177	180	183	186	189	192	195	198	201	204	207	210	213	216	219	222	225	228	231	234	237	240	243	246	249	252	255	258	261	264	267	270	273	276	279	282	285	288	291	294	297	300	303	306	309	312	315	318	321	324	327	330	333	336	339	342	345	348	351	354	357	360
0.0	0.0	-0.0005458414	-0.0005828476	-0.0002405403	-0.0001295217	-0.000185031	-4.62577481728195E-05	-0.0001202701	2.77546489036914E-05	3.70061985382546E-05	6.4760847441946E-05	3.70061985382546E-05	4.62577481728195E-05	-1.85030992691281E-05	7.40123970765093E-05	0.000101767	0.0001387732	0.000101767	-1.85030992691265E-05	3.70061985382562E-05	-2.77546489036914E-05	-7.40123970765093E-05	-0.000101767	-7.40123970765093E-05	-9.2515496345639E-05	-0.000101767	-0.0002312887	-0.0001942825	-0.0001110186	-0.0002775465	-0.0002590434	-0.0001572763	-0.0002220372	-0.0001202701	-0.0001572763	-0.0002497918	-0.0001110186	-5.55092978073827E-05	-0.0001572763	-0.0001295217	-9.2515496345639E-05	-0.0001295217	0	-0.000185031	-0.0001387732	-0.0001202701	-0.0001665279	-0.0001387732	-0.0001202701	1.85030992691265E-05	0	-0.0001387732	4.62577481728179E-05	9.25154963456484E-06	9.25154963456484E-06	4.62577481728179E-05	9.2515496345639E-05	0.000101767	2.77546489036914E-05	4.62577481728179E-05	0	-4.62577481728179E-05	3.70061985382562E-05	3.70061985382562E-05	0.0001387732	0.0001387732	3.70061985382562E-05	-5.55092978073827E-05	0.0001295217	0.0001202701	0.0001295217	0.0001387732	0.0001387732	0.0001295217	0.0001665279	0.0001295217	0.0001942825	0.0001202701	0.0003053011	0.000185031	0.0001942825	0.0002497918	0.0001295217	0.0002127856	0.0002312887	0.000185031	0.0002775465	0.0003423073	0.0002960496	0.000185031	0.0002220372	0.0003608104	0.000370062	0.0004163197	0.0003608104	0.0003793135	0.0003885651	0.0002775465	0.0004163197	0.000286798	0.0003793135	0.0003608104	0.000471829	0.0004163197	0.0004810806	0.0004625775	0.0004625775	0.0004810806	0.0005643445	0.0005458414	0.0005088352	0.0005643445	0.0007123693	0.000555093	0.0006198538	0.0006753631	0.0006198538	0.00065686	0.0007678786	0.0007216209	0.0006383569	0.0007586271
0.0	0.0	-0.0002405403	5.55092978073827E-05	9.25154963456374E-05	9.25154963456326E-06	3.70061985382546E-05	9.25154963456326E-06	4.62577481728195E-05	-5.55092978073827E-05	-0.000101767	-0.000101767	-7.40123970765108E-05	-0.0001757794	-7.40123970765108E-05	-9.2515496345639E-05	-0.0001480248	-0.0001387732	-0.0001202701	-0.0001572763	-0.000185031	-0.0003330558	-0.0002960496	-0.0002960496	-0.0003793135	-0.0003145527	-0.0003238042	-0.0003145527	-0.0003330558	-0.0004163197	-0.0003885651	-0.0005088352	-0.0005458414	-0.0004440744	-0.0004810806	-0.0004625775	-0.0005273383	-0.000471829	-0.0006106023	-0.0005735961	-0.0005458414	-0.0005643445	-0.0005180868	-0.0005828476	-0.0006013507	-0.0006938662	-0.0005920992	-0.0005828476	-0.0006383569	-0.0006198538	-0.0005920992	-0.0006383569	-0.0005828476	-0.0006753631	-0.00065686	-0.0007123693	-0.0007031178	-0.00065686	-0.0007308724	-0.0006938662	-0.0007308724	-0.0007216209	-0.0007123693	-0.000740124	-0.000740124	-0.0007771302	-0.0007493755	-0.000740124	-0.0007493755	-0.000841891	-0.0008511426	-0.0008696457	-0.0008326395	-0.0008326395	-0.0008696457	-0.0009159034	-0.000925155	-0.0009436581	-0.0009344065	-0.0009159034	-0.0008696457	-0.0008881488	-0.0009159034	-0.0008696457	-0.0009529096	-0.0009621612	-0.0011194375	-0.0009714127	-0.0011009344	-0.0010361736	-0.0009806643	-0.0010824313	-0.001026922	-0.0011841984	-0.001110186	-0.0011656953	-0.0010916829	-0.0010824313	-0.0011379406	-0.0012489592	-0.001211953	-0.0011749468	-0.0011934499	-0.0012767138	-0.0011656953	-0.0012674623	-0.0012859654	-0.0012859654	-0.0013229716	-0.0013229716	-0.0012859654	-0.0012397077	-0.0013507262	-0.0012859654	-0.0013599778	-0.0012674623	-0.0013229716	-0.0013784809	-0.0014524933	-0.0013414747	-0.0013877324	-0.0014709964	-0.0014339902
0.0	0.0	0.0007863817	0.0005273383	0.0001480248	0.0001202701	0.0001480248	3.70061985382546E-05	7.40123970765108E-05	2.77546489036914E-05	6.4760847441946E-05	3.70061985382546E-05	3.70061985382546E-05	0.0001295217	9.25154963456374E-05	1.85030992691265E-05	4.62577481728179E-05	0	1.85030992691265E-05	0.0001757794	0.0001480248	0.0003608104	0.000370062	0.0003978166	0.0004533259	0.0004070682	0.0004255713	0.0005458414	0.0005273383	0.0005273383	0.0006661116	0.0007678786	0.0007031178	0.0006661116	0.0006013507	0.0006198538	0.0007771302	0.0005828476	0.0006661116	0.0007308724	0.0006753631	0.00065686	0.0006476085	0.0005828476	0.0007863817	0.0008326395	0.0007123693	0.0007493755	0.0007771302	0.000740124	0.0005735961	0.0006383569	0.0007216209	0.0006291054	0.0006476085	0.0007031178	0.00065686	0.0005643445	0.0006291054	0.0006661116	0.0006846147	0.0007216209	0.0007586271	0.0007031178	0.0007031178	0.0006383569	0.0006106023	0.0007031178	0.0008048848	0.0007123693	0.0007308724	0.000740124	0.0006938662	0.0006938662	0.000740124	0.0007493755	0.0007956333	0.0007493755	0.0008141364	0.0006106023	0.0006846147	0.0006938662	0.0006661116	0.000740124	0.000740124	0.0007308724	0.0009344065	0.0006938662	0.0007586271	0.000740124	0.0007956333	0.0008603941	0.0006661116	0.0008141364	0.0006938662	0.0008048848	0.0007123693	0.0006938662	0.0008603941	0.0008326395	0.000925155	0.0007956333	0.0008326395	0.0008048848	0.0007493755	0.0007863817	0.0008233879	0.0008233879	0.000841891	0.0007586271	0.000740124	0.0007308724	0.0007863817	0.0005735961	0.0008048848	0.0006476085	0.0006476085	0.0007586271	0.0007956333	0.0005735961	0.0006661116	0.0008326395	0.0006753631
2.5	0.0	0.0005365899	0.0018873161	0.0010084189	0.0006476085	0.0005643445	0.0008974003	0.002710704	0.0062725507	0.0122768064	0.0218244056	0.0350911278	0.0519752058	0.0720048108	0.0934406513	0.117892497	0.144740494	0.1717642705	0.1983717273	0.2254325099	0.2597002498	0.2794153021	0.3053381441	0.3310944583	0.3561661578	0.3799148857	0.4005458414	0.4210935332	0.4364140994	0.4569525396	0.4745119808	0.4898788047	0.5022203719	0.5147562217	0.5250161902	0.5338051624	0.5431862337	0.5504301971	0.5560736423	0.562901286	0.5659357942	0.5707558516	0.568304191	0.5770006476	0.5805995004	0.5827273568	0.5835692478	0.5855398279	0.5862521972	0.5888611342	0.58853733	0.5893977241	0.5896660191	0.5853825516	0.5915440836	0.5914423166	0.5854380609	0.5876399297	0.5892867055	0.5866130077	0.5856508465	0.5848552132	0.5860209085	0.5846609307	0.5849292256	0.5827921177	0.5828013692	0.5801276714	0.5801739291	0.5782218522	0.5759829771	0.5755203997	0.5749653067	0.573068739	0.5723008604	0.5703210288	0.5695253955	0.5693681192	0.5685817374	0.5637154223	0.5625589786	0.561504302	0.5601628273	0.5591636599	0.5584605421	0.5510593024	0.5532056619	0.551910445	0.5509205292	0.5490054584	0.5467665834	0.5459894532	0.5433897678	0.5426033861	0.5404662781	0.5336571376	0.5366916459	0.5351651402	0.5332223147	0.5382274031	0.5290221112	0.5282264779	0.5266722176	0.5240910352	0.5228790822	0.5217781478	0.5198908317	0.5171061153	0.5133037284	0.5125913591	0.5093625682	0.5086964567	0.5020445925	0.5046905357	0.5041446942	0.5020630956	0.4975945971	0.4961050976	0.4951614395	0.4878157091	0.4900915903	0.4829401425
2.5	0.0	0.0008141364	0.0022481266	0.001396984	0.0009529096	0.000841891	0.0011194375	0.0027384587	0.0063003053	0.0121935424	0.0215468591	0.0349245999	0.0520584698	0.0731982607	0.0950504209	0.1203349061	0.1483208437	0.1759829771	0.2040336756	0.2329262651	0.2689147932	0.288824128	0.3168840781	0.3437783329	0.3682394301	0.3929873254	0.4146729577	0.4363308354	0.4507077435	0.4740771579	0.4891386807	0.505032843	0.5189009159	0.5321306319	0.5435840503	0.5515126284	0.5599777963	0.5664446295	0.5718660376	0.5780830789	0.5841428439	0.5855213248	0.5844573966	0.5931816079	0.5945323342	0.5965769266	0.5976686095	0.5992783791	0.6001572763	0.599629938	0.6030252567	0.6033860672	0.6017115367	0.5988435563	0.6012304561	0.6014894995	0.5948191322	0.6016282727	0.6009159034	0.599713202	0.5975020816	0.597761125	0.5982884633	0.5978166343	0.5954482376	0.5953927283	0.5937089462	0.5910907577	0.5924969932	0.5898232954	0.5886668517	0.5885095754	0.5868998057	0.5834489777	0.5833472107	0.5815616616	0.5798778795	0.5784438894	0.5772689425	0.5762882783	0.57391063	0.5733832917	0.5716254973	0.5718197798	0.568035896	0.5623554445	0.56561199	0.5640392266	0.5618558609	0.5624109538	0.5570635581	0.5589231196	0.5542695902	0.5554537885	0.5540660561	0.5429826996	0.5505689703	0.5467388288	0.546405773	0.5545471366	0.5424553613	0.540549542	0.5401887316	0.5383846794	0.5364788602	0.5337404015	0.5324081784	0.5305948746	0.5284855213	0.5281062078	0.5241280414	0.5226015358	0.5156166158	0.51976131	0.5182440559	0.5164400037	0.5129429179	0.5113979091	0.5102877232	0.5022203719	0.5053011379	0.4988713109
2.5	0.0	0.0011194375	0.0023591452	0.0012304561	0.0005643445	0.0006753631	0.0009529096	0.0026829494	0.0064113239	0.0127208807	0.0226847997	0.0369784439	0.0553890277	0.0775002313	0.0999629938	0.1267184753	0.1560366361	0.1845036544	0.2144971783	0.2436950689	0.282847627	0.3017022851	0.3279026737	0.3553520215	0.3802571931	0.4040336756	0.4288555833	0.4512073272	0.4623369414	0.4881765196	0.5057082061	0.5192432232	0.5311407161	0.5451475622	0.5557683412	0.5682764363	0.5726061615	0.5807660283	0.588907392	0.5954019798	0.597021001	0.6042834675	0.5975298362	0.6121102785	0.6152650569	0.616393746	0.6172911463	0.6207604774	0.6193079841	0.6161717088	0.6219261726	0.6222037191	0.6182255528	0.6128318993	0.6186048663	0.61844759	0.6070034231	0.6166712924	0.6152095476	0.6178369877	0.6162919789	0.6183550745	0.6151910445	0.6141641225	0.6102414654	0.6144324174	0.6115274308	0.6135720233	0.6079563327	0.6067536312	0.606346563	0.6063003053	0.6060505135	0.6046535295	0.6032750486	0.6025164215	0.6012489592	0.5997872144	0.5951429364	0.5962716255	0.5929780738	0.5933943936	0.5912757887	0.5887778703	0.5869090573	0.5830604126	0.5850957535	0.5845499121	0.5848922194	0.5810620779	0.58023869	0.5791007494	0.5751965954	0.5735775742	0.5743269498	0.562632991	0.5708021094	0.5687205107	0.5678323619	0.5776667592	0.5630493108	0.5641409936	0.5591174022	0.5584790452	0.5539365344	0.5545841428	0.5524192802	0.5517994264	0.5475807198	0.5462577482	0.5441946526	0.5428346748	0.5292996577	0.5381903969	0.5339531872	0.5309279304	0.5303450828	0.5283004903	0.5245258581	0.5168748265	0.5250346933	0.5118604866
5.0	0.0	0.0032287908	0.0047182903	0.0027292071	0.0017300398	0.0014802479	0.0022296235	0.0061245259	0.0152095476	0.0315385327	0.0573503562	0.0945415857	0.142871681	0.2011749468	0.2620223888	0.3372097326	0.414071607	0.4936904431	0.5764178	0.6594042002	0.7651124063	0.8156906282	0.884799704	0.9479692849	1.0014894995	1.0503006754	1.0951059302	1.1342769914	1.1522620039	1.1957257841	1.2221389583	1.2418355074	1.2625034693	1.2768711259	1.2897955408	1.2987232862	1.3055231751	1.3154593394	1.3222407253	1.3280692016	1.3323526691	1.3355629568	1.3160976964	1.3375057822	1.3386067166	1.339790915	1.3373577574	1.3377740772	1.3342399852	1.3346007956	1.3368026644	1.3350541216	1.3330742899	1.3293459154	1.3272365621	1.3272458137	1.3030622629	1.3217503932	1.3184845962	1.3145896938	1.3096308632	1.3051438616	1.3072809696	1.3015357572	1.3031362753	1.2988065501	1.2948468869	1.2920344158	1.2924969932	1.2859931539	1.280978814	1.2792950319	1.2736885928	1.2706540846	1.2686372467	1.264686835	1.2592839301	1.254991211	1.2518179295	1.2478397632	1.2458229253	1.2399111851	1.2346563049	1.2373762605	1.2285410306	1.2266074567	1.2210380239	1.2168563234	1.2148949949	1.2102322139	1.2068276436	1.2018040522	1.1975945971	1.1965306689	1.1908132112	1.1695994079	1.1832639467	1.1780183181	1.1714959756	1.1912665371	1.1645480618	1.163003053	1.1566749931	1.1566749931	1.1494680359	1.1435377926	1.1391803127	1.1332315663	1.1312887409	1.126662966	1.1210750301	1.1186603756	1.0969932464	1.1087982237	1.1070034231	1.1000647608	1.0964011472	1.0907206957	1.0875566657	1.0642242576	1.0752150985	1.0536312332
5.0	0.0	0.0024516607	0.004190952	0.0025626792	0.0015357572	0.0013692293	0.0020353409	0.0060412619	0.015098529	0.0314275141	0.0573781108	0.0959848275	0.1457304098	0.2061152743	0.2688222777	0.3437598298	0.4239800167	0.5030437598	0.5855490795	0.6673975391	0.7773799611	0.8302340642	0.9045332593	0.9702840226	1.0286057915	1.0809695624	1.1224442594	1.160949209	1.1747987788	1.2219816819	1.2417892497	1.266453881	1.2777962809	1.2984087335	1.3037561292	1.3147099639	1.320871496	1.3276158757	1.3303173282	1.3358127486	1.3496993246	1.341474697	1.3237857341	1.3473031733	1.3511795726	1.3488944398	1.3467943381	1.3449625312	1.3437320751	1.3406235544	1.3410768804	1.3392450735	1.336155056	1.3325932094	1.3360070312	1.33188084	1.3089462485	1.3254695161	1.3212323064	1.3233324082	1.3156813766	1.3193542418	1.3147469701	1.3124155796	1.3094365806	1.3114349153	1.3062540476	1.2998889814	1.29868628	1.294042002	1.2899713202	1.2902581182	1.2862614488	1.2794523083	1.2749097974	1.2730132297	1.2704412989	1.2675918216	1.2668054399	1.2618281062	1.2565917291	1.2582292534	1.2493662689	1.2505597188	1.2437505782	1.239235822	1.2358034971	1.232620964	1.2340457027	1.2321306319	1.2273383292	1.2228143214	1.2165787769	1.2191229531	1.2144324174	1.1894994912	1.207826811	1.1998889814	1.1971135165	1.217522435	1.191248034	1.1888981404	1.1857896198	1.181820705	1.1776112499	1.1725414007	1.167295772	1.1632065871	1.1614025349	1.1596077343	1.1596817467	1.1506337311	1.1286613008	1.140160977	1.1402534925	1.1344250162	1.1290961236	1.1249699325	1.1242483116	1.098973078	1.1143769081	1.0898788047
5.0	0.0	0.0011471922	0.0032472939	0.0022573781	0.0011471922	0.0012027015	0.0018410584	0.0057359608	0.014543436	0.0306503839	0.0561846609	0.0935979277	0.1427329078	0.2012027015	0.2618836155	0.3328522528	0.4108798224	0.4858636322	0.5670644833	0.6470256268	0.750596725	0.7964289018	0.8633453603	0.9275141086	0.9780645758	1.0241835507	1.0706263299	1.102137108	1.1164862614	1.160394116	1.1847256916	1.2025349246	1.2185123508	1.2299657693	1.2461929873	1.2597835137	1.2585900638	1.2675825701	1.2738643723	1.2819132205	1.280340457	1.2854380609	1.2680266445	1.2928485521	1.2938662226	1.2957997965	1.2941437691	1.2938384679	1.2870015728	1.2830604126	1.2911185124	1.2868998057	1.2778425386	1.2669812194	1.2721435841	1.2680173929	1.2479970395	1.2617170876	1.2618928671	1.2606069017	1.2599777963	1.2583772782	1.2562956795	1.2494957905	1.246322509	1.2536497363	1.2427791655	1.2494587843	1.2367934129	1.232704228	1.2280229438	1.2276991396	1.2237302248	1.2211120363	1.2172911463	1.2147007124	1.2093810713	1.2068646498	1.2001110186	1.2012674623	1.1908964752	1.1949764085	1.1903321306	1.1789804792	1.1804977334	1.1727079286	1.1757146822	1.1746970117	1.1691553335	1.1671569988	1.165056897	1.1597835137	1.1567952632	1.1502636692	1.1524007771	1.1283004903	1.1429364419	1.1394116014	1.1344157646	1.1575168841	1.1254140068	1.1269775187	1.121343325	1.1177907299	1.1095568508	1.1106485336	1.1057914701	1.1005920992	1.0975945971	1.090859469	1.0896012582	1.0891571838	1.0619391248	1.0810158201	1.0691183273	1.0633453603	1.0634841336	1.0607179203	1.0518919419	1.0357479878	1.0503746878	1.0241280414
10.0	0.0	0.0008696457	0.0033860672	0.0028679804	0.0011749468	0.0010361736	0.0027569618	0.0107040429	0.0296142104	0.0638726987	0.1183273198	0.1955962624	0.2918308817	0.4057267092	0.5254695161	0.6575538903	0.8034138218	0.9398741789	1.0634286243	1.1771116662	1.3044407438	1.3711444167	1.4577111666	1.531038949	1.6013229716	1.6607919326	1.7109815894	1.7618373578	1.7871218429	1.8360532889	1.8601628273	1.8900730872	1.9066333611	1.9282727357	1.942501619	1.9487371635	1.962531224	1.9694698862	1.9796095846	1.9828291239	1.9870015728	1.9851327597	1.9760754926	1.9834952355	1.9851790175	1.9858913868	1.9781293367	1.9831251735	1.9802016838	1.979396799	1.9715792395	1.9671662503	1.9634101212	1.942584883	1.9604866315	1.951808678	1.9360625405	1.9440928856	1.9399389398	1.9354611897	1.9326117125	1.9232398927	1.9173836618	1.9157461375	1.9099084097	1.9000832639	1.8947913776	1.8902581182	1.88405958	1.8773892127	1.8712091775	1.8691923397	1.8649736331	1.8540845592	1.850041632	1.8405680451	1.8322231474	1.8313997595	1.8254787677	1.8183920807	1.8142658895	1.8080488482	1.7999352392	1.7964936627	1.7891571838	1.7674067906	1.773993894	1.7666759182	1.7623831992	1.7542788417	1.7466000555	1.7436858174	1.7330095291	1.7284762698	1.7222869831	1.7077620501	1.7086039412	1.7031085207	1.69367194	1.7022296235	1.6784808956	1.6775187344	1.6684984735	1.6590341382	1.6540197983	1.6493662689	1.6413174207	1.6324821908	1.624794153	1.6178647423	1.6093348136	1.6025626792	1.5878619669	1.589009159	1.5858821353	1.5776390045	1.5700064761	1.5593301878	1.5540290499	1.5370524563	1.5371357202	1.5194097511
