GFP (nM)	mCherry (nM)	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69	72	75	78	81	84	87	90	93	96	99	102	105	108	111	114	117	120	123	126	129	132	135	138	141	144	147	150	153	156	159	162	165	168	171	174	177	180	183	186	189	192	195	198	201	204	207	210	213	216	219	222	225	228	231	234	237	240	243	246	249	252	255	258	261	264	267	270	273	276	279	282	285	288	291	294	297	300	303	306	309	312	315	318	321	324	327	330	333	336	339	342	345	348	351	354	357	360
0.0	0.0	-0.0175853018	-0.0030143959	-0.0020520162	-0.0046369204	-0.0047959914	-0.0029109998	0.0014395928	-0.0015748031	0.0008112622	-0.0010260081	0.0039847292	-0.0007317267	-0.0003658634	-0.0040563111	0.0008907977	0.0013600573	-0.002179273	-0.0012089398	-0.0022349479	0.0055277181	-0.0036347729	0.0035472839	-0.0005408415	0.0037620297	-0.0009146584	0.0005090273	0.0004294918	0.0015032212	-0.0022906228	0.00085103	0.0006840054	0.0009623797	0.0026008113	-0.0062992126	-0.0016781993	0.0024258331	-0.0022747157	0.0003340492	0.0028871391	0.0022667621	-0.00085103	0.0010260081	-0.0019963414	-0.0022031337	-0.002481508	-0.0012487075	-0.0043505925	-0.0022588086	-0.0010578223	-0.0007476338	-0.003491609	-0.0002863278	-0.000461306	0.0018849916	0.007444524	0.002020202	0.0001670246	0.0022747157	0.0003022349	-0.0040324505	0.0017975026	-0.0034120735	-0.0027837429	-0.0031177921	0.0016861529	0.0042869641	0.0049152947	0.0055038575	0.0017418277	-0.0033563986	-0.0057026963	-0.0012566611	-0.0009703333	0.003952915	0.0029825817	-0.0001193033	-0.0045335242	0.0043267319	0.0048834805	0.0007874016	0.0007078661	-0.0037699833	0.0061480951	-0.0018929452	-0.0037381691	0.0014873141	-0.0001113497	-0.0021474588	-0.0045096636	0.0017497813	0.0009226119	0.0012328004	0.0018213632	7.95355126063796E-05	0.002640579	-0.0038733795	0.0010180546	1.59071025212748E-05	-0.0005408415	0.0012328004	0.000779448	-0.0019565736	-0.0022906228	0.0015668496	-0.0030064424	0.0001431639	-0.0029825817	0.0012646147	0.002091784	0.005424322	0.0013282431	0.0066014475	-0.0065537262	0.0017259206	-0.0047641772	-0.0004851666	-0.0003181421	0.0028394178	0.0008669371	0.0007237732	0.0021156446
0.0	0.0	2.38606537819136E-05	-0.0038495188	-0.0007874016	-0.0010578223	-0.0010260081	-0.0018849916	-0.0035711445	0.0037461226	0.0003340492	0.001240754	-0.004342639	0.0026803468	0.0010419152	0.0020042949	-0.0021872266	-0.0016941064	0.0017100135	0.0027280681	0.0011532649	-0.0047562237	0.0030223495	-0.0026087648	-0.0006601448	0.0009226119	0.0054322755	-0.0007555874	0.0002624672	-0.0031257456	0.0011453114	0.0024735544	-0.0007953551	-0.0034518412	0.000691959	-0.0010498688	0.0039051937	0.0002545136	0.0006362841	0.0002624672	-0.0021951801	-0.0029348604	-0.0004931202	-0.0008112622	0.0015350354	0.0011134972	0.0012168933	0.0014952676	0.0062196771	0.0038972401	0.0005169808	-0.0038733795	0.0027837429	-0.0036745407	0.0031893741	-0.0053209258	-0.0059890241	-0.0032530025	0.0031257456	0.0026564861	0.0014475463	-0.0002863278	0.0022747157	0.0023383441	0.0017259206	0.0008669371	-0.0038017975	0.0001829317	-0.0033643522	-0.003491609	-0.0017656884	0.0005806092	-0.0028155571	-0.0015191283	0.0003181421	-0.0040881253	-0.0013600573	-0.0033404915	0.0027916965	-0.0005885628	-0.0062117235	0.0029825817	-0.0017736419	-9.54426151276545E-05	-0.0038017975	0.0033086773	0.0019883878	-0.0050505051	0.0039449614	-0.0006680983	0.0050584586	-0.0001829317	-0.0003420027	-0.0038017975	0.0018690845	0.0002465601	-0.0032052812	0.00085103	0.000159071	-0.0002465601	0.0015111747	-0.0001988388	-0.0029189533	0.0020520162	-0.0009544262	0.0015429889	-0.0003817705	0.0017418277	-0.000620377	0.0004772131	0.0002067923	-0.0036665871	0.0009226119	-0.0014395928	0.0024656009	0.0020838304	0.0011294043	-0.0048755269	-0.0015350354	-0.0017418277	-0.0011850791	0.0024656009	-0.0029666746
0.0	0.0	0.0175614412	0.0068639147	0.0028394178	0.0056947427	0.0058219995	0.0047959914	0.0021315517	-0.0021713195	-0.0011453114	-0.0002147459	0.0003579098	-0.0019486201	-0.0006760519	0.0020520162	0.0012964289	0.0003340492	0.0004692595	-0.0015191283	0.001081683	-0.0007714945	0.0006124234	-0.000938519	0.0012009862	-0.0046846417	-0.0045176171	0.0002465601	-0.000691959	0.0016225245	0.0011453114	-0.0033245844	0.0001113497	0.0024894615	-0.0032927702	0.0073490814	-0.0022269944	-0.0026803468	0.0016384316	-0.0005965163	-0.000691959	0.0006680983	0.0013441502	-0.0002147459	0.000461306	0.0010896365	0.0012646147	-0.0002465601	-0.0018690845	-0.0016384316	0.0005408415	0.0046210133	0.0007078661	0.0039608685	-0.0027280681	0.0034359341	-0.0014554999	0.0012328004	-0.0032927702	-0.0049312018	-0.0017497813	0.0043187783	-0.0040722182	0.0010737294	0.0010578223	0.002250855	0.0021156446	-0.0044698958	-0.0015509425	-0.0020122485	2.38606537819136E-05	0.0027757894	0.0085182534	0.0027757894	0.0006521912	0.0001352104	-0.0016225245	0.0034597948	0.0017418277	-0.0037381691	0.0013282431	-0.0037699833	0.0010657759	0.0038654259	-0.0023462976	-0.0014157321	0.0017497813	0.003563191	-0.0038336117	0.0028155571	-0.000548795	-0.0015668496	-0.0005806092	0.0025689971	-0.0036904478	-0.0003260956	0.0005647021	0.0030223495	-0.0011771256	0.000230653	-0.0009703333	-0.0010339617	0.0021395053	-9.54426151276545E-05	0.0032450489	-0.0031098385	0.0033882128	-0.0018849916	0.0036029587	-0.0017418277	-0.0022985763	-0.0017577348	-0.002250855	-0.0051618548	0.0040881253	-0.0038097511	0.0036347729	0.0053606935	0.0018531774	-0.0010975901	0.0003181421	-0.0031893741	0.00085103
2.5	0.0	0.032736817	0.0323232323	0.01605822	0.0190089875	0.0141732283	0.0227392031	0.020098624	0.0302791696	0.0388928657	0.0450250537	0.0587687903	0.0563429571	0.0636045494	0.0689095681	0.0971685358	0.0824624195	0.0929531536	0.0950926589	0.0969537899	0.0844826215	0.0847450887	0.093478088	0.0991012487	0.0962697845	0.0770142369	0.054768154	0.0745168218	0.0565258888	0.0768313052	0.0534399109	0.0490972719	0.0673904398	0.0545454545	0.0521832498	0.0472838622	0.0442535592	0.0441103953	0.0530899547	0.0317108089	0.0279408256	0.0265171399	0.0278931043	0.0284021316	0.0191998727	0.0239560964	0.0179829794	0.020011135	0.0160661735	0.0127574962	0.0168853893	0.0156207747	0.0221188261	0.0117076275	0.0053209258	0.0045573849	0.0013043824	0.007993319	0.0066173546	0.0128290782	0.0076354092	0.0118189772	0.0119780482	0.0054481826	0.0046369204	0.0127574962	0.0021156446	0.0026485326	0.0096556112	0.0009305655	0.0113656248	0.003722262	0.0045176171	-1.59071025212748E-05	0.0003499563	0.0036268194	0.0082319256	-0.0057026963	0.0033007238	0.0007555874	0.0005010737	0.0084864392	0.0040085898	0.0035711445	0.0002545136	0.0098385429	0.0029905353	-0.000230653	0.0068002863	0.0009067048	0.0049709695	0.001471407	-0.0021315517	0.0028235107	0.0027519287	0.0051459477	0.0077944802	0.0015907103	0.00450171	0.0113417641	-0.0010339617	0.0036427265	-0.0039608685	0.0011214507	0.0002545136	0.003793844	0.0010737294	-0.0047005488	0.0034359341	0.0023781118	0.0037540762	0.0011134972	-0.0037779368	0.000461306	0.0001272568	0.0004374453	-0.0042312893	0.0065537262	0.011787163	-0.0056470214	0.0031814205	0.0012089398
2.5	0.0	0.0450250537	0.0282907818	0.0223812932	0.0268114213	0.0215938917	0.0259365307	0.0223176648	0.0389883083	0.0392030542	0.0453113815	0.0620854211	0.0462499006	0.0656804263	0.0683846337	0.0813727829	0.0886661895	0.1001113497	0.1013202895	0.10279965	0.1107532013	0.1009703333	0.1040244969	0.1009623797	0.0914499324	0.0929054323	0.0984331504	0.0956812217	0.0983058936	0.0867334765	0.0755348763	0.0795434662	0.0733317426	0.0724648055	0.0609401098	0.0619343037	0.0582836236	0.0451602641	0.0475065617	0.0492245288	0.0382009067	0.0421697288	0.0320209974	0.0294281397	0.0334208224	0.0359580052	0.0216813807	0.0165990615	0.0225085501	0.0210132824	0.0134733158	0.0107293407	0.0146981627	0.0171955778	0.0162013839	0.0136721546	0.0146663485	0.0162491052	0.0087886741	0.0158355206	0.0025053686	0.007142289	0.0169172035	0.0057583711	0.0054959039	0.0120655373	0.0061242345	0.0013600573	0.0065060049	0.0042471964	0.0031336992	0.0027678358	0.0132267557	0.0057822318	0.0036904478	0.002481508	9.54426151276545E-05	0.0030780243	-0.0019008988	-0.0012725682	0.0073013601	0.0021872266	0.0042949177	0.0062673984	0.0139028076	0.0016781993	0.0080728545	-0.0017815955	0.0057504176	0.0028394178	-0.0026883003	0.0047403166	0.0043108248	-0.0008748906	0.001010101	0.0069354967	-0.0029189533	0.002020202	0.0035950052	0.0040881253	0.0025689971	0.0006601448	-0.0053925078	0.0097590074	0.0064582836	0.0013361966	0.0027201145	0.0028394178	0.0022667621	0.0085341605	0.0126063787	0.0028553249	-0.0042551499	-0.0001352104	0.0072377316	0.0013680108	0.0017338742	-0.0002226994	0.0048675734	-0.0041438002	0.0038972401	-0.0025371829
2.5	0.0	0.0283464567	0.050194862	0.0229539489	0.0105623161	0.0162252446	0.0151753758	0.0311699674	0.0285134813	0.0438797423	0.0520878072	0.0521832498	0.0565338424	0.0864391951	0.0701980434	0.0816591108	0.0865903126	0.0922611946	0.1028235107	0.1076195021	0.096436809	0.1046687346	0.0986797105	0.0897240118	0.1013282431	0.0931917601	0.0849280204	0.082009067	0.0715103794	0.0819613457	0.0638908773	0.0762745566	0.0707786527	0.0640897161	0.0609878311	0.0757734829	0.0558021156	0.0436570429	0.0492483894	0.0498449058	0.045693152	0.0384474668	0.0294440468	0.0284975742	0.028004454	0.0184442854	0.0197725284	0.0263819295	0.0302871232	0.0279090114	0.0188658236	0.0231846019	0.0122882367	0.0122564225	0.0075399666	0.0103793844	0.0101328243	0.0151992365	0.0021554124	0.0040722182	0.0055356717	0.0009623797	0.013648294	-0.0019963414	0.0032291418	0.0154060288	0.006983218	0.0059890241	0.0134255945	-0.0022906228	0.0075717808	0.0062276306	0.0046846417	0.0120575837	0.0019963414	0.0050107373	0.0045573849	2.38606537819136E-05	0.0099578462	0.000159071	0.0113815319	0.0051459477	0.0095204009	0.002712161	0.0022826692	0.0019883878	0.0014395928	-0.0068161934	0.0034597948	0.0010260081	-0.0027360216	0.0054322755	0.0006362841	0.0069991251	-6.36284100851021E-05	-0.0052334367	-0.0024894615	-0.0022031337	0.0029746282	0.0018452239	0.0024735544	-0.0062594448	-0.0043664996	-0.0010975901	0.0013043824	-0.0007635409	-0.0052732045	0.0020758769	-0.0026008113	0.0034757019	0.0076195021	0.0012089398	-0.002942814	0.0006999125	0.0030143959	-0.0004453989	0.0002545136	0.0012566611	0.0009067048	-0.00085103	-0.0048596198	0.0055277181
5.0	0.0	0.1027916965	0.0746043108	0.0489143403	0.0487632228	0.050656168	0.0581961346	0.0951403802	0.0860653782	0.1013361966	0.1228346457	0.1461226438	0.2001033962	0.2243060527	0.2212837032	0.2375169013	0.2670484371	0.27858904	0.2797502585	0.2629762189	0.2948142846	0.2442774199	0.2661337787	0.2463453432	0.2424640102	0.237310109	0.2267318858	0.1883798616	0.1998568361	0.1912192794	0.1726000159	0.1665871312	0.1625467271	0.1477690289	0.1231686948	0.1320130438	0.1053606935	0.096436809	0.1047482701	0.0885230255	0.084633739	0.0645271614	0.0642806013	0.0711604231	0.063771574	0.0554998807	0.0565417959	0.0444205838	0.0493040643	0.0480235425	0.0443251412	0.0410800923	0.0308995466	0.0386940269	0.0277260797	0.0345740873	0.0268114213	0.0228585063	0.019001034	0.021872266	0.0259365307	0.0162331981	0.0245764734	0.0181181898	0.0166626899	0.0204644874	0.0131392667	0.0132903842	0.0216575201	0.0063469339	0.0139902967	0.0058935815	0.0178557226	0.0122007476	0.0177682335	0.0063469339	0.0052970651	0.0042471964	0.0124870755	0.0125188897	0.0119780482	0.0073172672	0.0109281794	0.0085102998	0.003332538	0.0105066412	0.0038495188	0.0037540762	0.011787163	0.0032211883	0.0006760519	0.0051698083	0.0028791856	0.0012725682	0.0054720433	0.0070786606	0.0100373817	0.0007317267	0.0077944802	0.0028235107	-0.0062117235	0.0042153822	0.0035552374	-0.0022667621	-0.0005806092	0.0131710809	0.0039847292	0.0079694584	0.0011214507	0.0005408415	0.0033484451	-0.0008430764	0.000159071	0.0074763382	0.0072615923	0.002322437	-0.0034438877	-0.002250855	0.0015270818	-0.0024496938	0.0018452239	-0.004111986
5.0	0.0	0.0778811739	0.0611230414	0.0680744452	0.0547999682	0.0436172751	0.0625387736	0.0727113656	0.0981627297	0.1255547602	0.1256740635	0.1591505607	0.1565815637	0.2024258331	0.2304461942	0.249733556	0.2575518969	0.2751292452	0.2654577269	0.2933031098	0.2827646544	0.2652032132	0.2760359501	0.2820886026	0.2513163127	0.2293167899	0.2510936133	0.2318301121	0.2326175137	0.2217131949	0.1939791617	0.1773960073	0.1884355365	0.157480315	0.1650918635	0.1356875845	0.1294599539	0.113115406	0.1150083512	0.1053447864	0.1099737533	0.1052095761	0.0786447149	0.0907022986	0.0757257616	0.0626819375	0.0635568281	0.0558259763	0.0499005806	0.0565895172	0.0412948381	0.0473554442	0.0466714388	0.035448978	0.0384872346	0.0263660224	0.0327288634	0.0285850632	0.0270420743	0.0293167899	0.0263421618	0.0248468941	0.0277260797	0.0123677722	0.0195736897	0.0201781595	0.0278612901	0.0181102362	0.0140698322	0.0069195896	0.015278772	0.0217131949	0.014038018	0.014586813	0.0166945041	0.0183727034	0.0058935815	0.0159627774	0.012176887	0.0132108486	0.0075161059	0.008223972	0.0083512288	0.0080808081	0.0152151436	0.006593494	0.0170921817	0.0106020838	0.0108327368	0.0123120974	0.0094090511	0.0108486439	0.0096078899	0.0094329118	0.0090988626	0.0103952915	0.003952915	0.0082478327	0.0040722182	0.0086216496	0.0072934065	0.0031416527	0.0063946552	0.0050823193	0.0056470214	0.0071104748	0.0010737294	-0.0012168933	0.007444524	0.0104907341	0.0122007476	0.0016861529	0.0040483576	0.0002942814	0.0111270182	0.007213871	0.0003022349	0.0095840293	0.0146027201	0.0003420027	0.0016066174	0.0103714308
5.0	0.0	0.0595084705	0.068663008	0.0581722739	0.0347092977	0.0458601766	0.0655690766	0.0792730454	0.0864471487	0.0941064185	0.124123121	0.1369362921	0.1863835202	0.1928099897	0.1933428776	0.2323868607	0.2504175614	0.2542511731	0.3042312893	0.2746440786	0.2641533445	0.2791616957	0.26253082	0.2407380896	0.2518889684	0.2232323232	0.241740237	0.2050823193	0.1875447387	0.197590074	0.1738646306	0.1706195816	0.1459874334	0.1376759723	0.143140062	0.1216575201	0.1073411278	0.1054084149	0.1126222859	0.0979002625	0.0876879026	0.077650521	0.0738964448	0.0469895808	0.0688300326	0.062992126	0.0572337549	0.0618150004	0.0523343673	0.0489302474	0.0355682812	0.0372623877	0.033905989	0.0404835759	0.0356000954	0.0254115963	0.0301519128	0.0270102601	0.0172592062	0.021180307	0.0223097113	0.0226278533	0.0204247196	0.0130120099	0.0167342719	0.0183170286	0.0161695697	0.0143641136	0.015596914	0.0087807206	0.0023701583	0.0022906228	0.0143959278	0.0119144198	0.0096078899	0.0167979003	0.0103078024	-0.0006442377	0.0022747157	0.0019486201	0.0066332618	0.0009226119	0.006824147	0.0114690209	0.0036904478	0.0129404279	0.0153503539	-0.0027598823	0.001861131	0.0002386065	0.0015350354	0.0143800207	0.0042153822	0.006593494	0.0085500676	0.0034757019	0.0087250457	0.002712161	0.006983218	0.009623797	0.0050027837	-0.0005567486	0.0013839179	0.007372942	-0.0001749781	0.0017418277	-0.0016463851	0.0027201145	0.0025769506	0.0073649885	0.0035393303	-0.0045176171	-0.0060924203	-0.0026167184	-0.0009464726	0.0008192158	-0.0059969777	0.000230653	0.0065139585	-0.0046687346	0.0034438877	0.0092977014
10.0	0.0	0.1364113577	0.1042153822	0.0787162968	0.0994671121	0.0988546886	0.1356716774	0.1694424561	0.210403245	0.2342400382	0.2748031496	0.3220233834	0.3715421936	0.4233277658	0.4149844906	0.4574882685	0.4696969697	0.4527002307	0.4950210769	0.4784379225	0.4464726	0.4267875606	0.4368806172	0.3878151595	0.3930247355	0.353368329	0.3116758133	0.3317108089	0.3008828442	0.2935814841	0.2393621252	0.2364749861	0.2265887219	0.1890718206	0.1842042472	0.1714069832	0.1679471884	0.1426071741	0.1567644953	0.1375566691	0.1336196612	0.1131313131	0.107372942	0.1087409528	0.0913306291	0.0841088046	0.0729102044	0.0743895649	0.0685596119	0.0679710491	0.061290066	0.0562077468	0.0565736101	0.0531297224	0.0327129563	0.0416607015	0.0334446831	0.0413982343	0.0262308121	0.035377396	0.0346456693	0.0304302871	0.0389167263	0.0304780084	0.0323630001	0.0222301758	0.0286725523	0.0157718921	0.0333253798	0.0170603675	0.021339378	0.0145549988	0.0216257059	0.0204565338	0.0231368806	0.0179670723	0.0102839418	0.0183011215	0.0113894854	0.006983218	0.0092817943	0.0076513163	0.0053447864	0.0085818818	0.016217291	0.002250855	0.0099339855	0.0033723057	0.0087807206	-0.0005965163	0.0080251332	0.0134494552	0.0151674223	-0.002712161	0.0050664122	0.0052891116	0.0081046687	0.0018293168	0.0036427265	0.0056152072	0.0049550624	0.0064582836	2.38606537819136E-05	0.0022906228	-0.0001511175	0.0015509425	0.0097828681	0.0057504176	0.0055595323	0.0016861529	0.0048755269	0.0037381691	-0.0063071661	-0.002640579	0.0031575599	-0.0010896365	0.002020202	0.0014952676	0.0055356717	-0.0012328004	0.0003181421	-0.0003181421
10.0	0.0	0.1642806013	0.1254275034	0.0814125507	0.0768233516	0.1011930327	0.1571939871	0.1750497097	0.2177761871	0.2618706753	0.2984251969	0.3649009783	0.3939473475	0.4898512686	0.4525650203	0.5534319574	0.5419231687	0.5330151913	0.5504016543	0.5219358944	0.5475463294	0.5030223495	0.4991330629	0.4849757417	0.4356875845	0.3892786129	0.3680823988	0.3697685517	0.3564543068	0.3476497256	0.3194623399	0.3139505289	0.3025849042	0.2561918397	0.2249105225	0.2198202497	0.2074365704	0.1907818341	0.1845144357	0.1780243379	0.1451204963	0.1356319096	0.1396086853	0.1252286646	0.1212041677	0.112956335	0.0938121371	0.0942177682	0.0969776505	0.0788753679	0.0672790901	0.0722898274	0.0719637318	0.0639624592	0.0530899547	0.0484132665	0.0500994194	0.0498926271	0.0434582041	0.045231846	0.0391791935	0.0389962618	0.0404676688	0.0265887219	0.0310268035	0.0306768472	0.0167660861	0.022810785	0.0198918317	0.0124791219	0.02761473	0.0199236459	0.0242503778	0.0137039688	0.0179591187	0.0149367693	0.0146504414	0.0120734908	0.009075002	0.0159786845	0.0177046051	0.0170285532	0.0131233596	0.0165513402	0.0105384554	0.0134892229	0.0100294281	0.0082637398	0.0191123837	0.0088761632	0.0037302155	0.0104191522	0.0043346854	0.0150163048	0.0095760757	0.0088682097	0.0105861767	0.0055038575	0.0054561362	0.0046130597	-0.0017975026	0.0055277181	-0.0042471964	0.0027439752	0.0053606935	0.0070388929	0.0042471964	-0.0025292293	-0.0010260081	-0.0002465601	0.0062117235	0.0069593574	-0.00170206	0.0048278056	0.0131313131	-6.36284100851021E-05	-0.0027042074	0.0003260956	0.0049152947	0.0062117235	-0.0019963414	0.0087966277
