GFP (nM)	mCherry (nM)	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69	72	75	78	81	84	87	90	93	96	99	102	105	108	111	114	117	120	123	126	129	132	135	138	141	144	147	150	153	156	159	162	165	168	171	174	177	180	183	186	189	192	195	198	201	204	207	210	213	216	219	222	225	228	231	234	237	240	243	246	249	252	255	258	261	264	267	270	273	276	279	282	285	288	291	294	297	300	303	306	309	312	315	318	321	324	327	330	333	336	339	342	345	348	351	354	357	360
0.0	0.0	0.0001065644	-0.0002131287	-0.0007033248	-0.0005967604	-0.0003836317	-0.0001918159	-0.000170503	8.5251491901108E-05	-0.000341006	0.0001491901	-4.26257459505544E-05	-4.26257459505544E-05	-0.000170503	-2.13128729752768E-05	-2.13128729752768E-05	-0.0002770673	-0.0007246377	-2.13128729752768E-05	-0.0001918159	-0.0002983802	0.0002131287	2.13128729752768E-05	0.0001491901	-0.0001491901	2.13128729752768E-05	6.39386189258312E-05	-0.0001491901	0.0001278772	4.26257459505544E-05	0.000341006	-8.5251491901108E-05	-0.0002344416	0.0001065644	0.0002131287	4.26257459505544E-05	0.0001065644	0	-0.0005754476	-0.0003836317	-0.0007459506	0	-0.0001918159	-8.5251491901108E-05	-8.5251491901108E-05	-2.13128729752768E-05	0.0003623188	-0.0001918159	-0.0001065644	0.0001278772	-0.0002770673	0.0001918159	-6.39386189258312E-05	0.0002983802	-0.0002131287	-4.26257459505544E-05	-0.000170503	-0.0001065644	0	0.000511509	-0.0001491901	-0.0001278772	-0.0002983802	0.0002770673	0.0002557545	-2.13128729752768E-05	-0.0002770673	0.0002983802	0.0003623188	0	0.0005754476	0.0003623188	0.0002983802	0.0001278772	6.39386189258312E-05	0.0006606991	4.26257459505544E-05	-8.5251491901108E-05	4.26257459505544E-05	-2.13128729752768E-05	-0.0001278772	-0.0007459506	-0.0001491901	0.0001065644	0.0008525149	0.0002131287	-0.0004262575	-6.39386189258312E-05	-2.13128729752768E-05	-0.0001278772	-0.0002557545	-2.13128729752768E-05	0.0002131287	-0.0001491901	-0.0001278772	-0.0002770673	-0.0002131287	0.0001065644	-4.26257459505544E-05	0.0001918159	0.0001918159	6.39386189258312E-05	-0.0003623188	0	0.000341006	0.0001491901	0	0.0005328218	8.5251491901108E-05	0.0002131287	8.5251491901108E-05	0.0001278772	8.5251491901108E-05	-0.0001491901	-0.000170503	0.0004688832	0.000341006	-8.5251491901108E-05	-2.13128729752768E-05	0.0005754476	0.0006820119	-6.39386189258312E-05
0.0	0.0	-0.0004049446	0.000170503	0.0001278772	0.0002344416	0	0	0.000341006	0.0002770673	-0.0002131287	-4.26257459505544E-05	-4.26257459505544E-05	8.5251491901108E-05	0.0002131287	4.26257459505544E-05	-8.5251491901108E-05	-0.0004049446	0.000170503	0.0003623188	0.0003196931	2.13128729752768E-05	-0.0005541347	-4.26257459505544E-05	0.0002131287	-2.13128729752768E-05	8.5251491901108E-05	-0.0002557545	0.0002983802	-6.39386189258312E-05	0.0002983802	8.5251491901108E-05	0.0001065644	-0.000170503	-0.0002131287	-0.0002344416	-2.13128729752768E-05	4.26257459505544E-05	0.0003196931	0.0003196931	0.0003836317	-0.0001065644	-0.0003836317	-6.39386189258312E-05	-8.5251491901108E-05	-2.13128729752768E-05	-8.5251491901108E-05	-0.000341006	0	2.13128729752768E-05	6.39386189258312E-05	0.0003623188	-0.0006393862	-0.0001278772	-0.0002770673	0.0002344416	-0.000170503	-0.0001065644	0.0002770673	-0.0001918159	-0.0005754476	-0.0002770673	-0.0003196931	0.000341006	-0.0002344416	-0.0001918159	0.0001065644	-0.0002770673	0.000170503	-0.0005328218	-0.0003196931	-0.0009590793	0.0002344416	-2.13128729752768E-05	-0.0003836317	-0.0002557545	-0.0003623188	-0.000341006	4.26257459505544E-05	-0.0004049446	0.0001065644	-6.39386189258312E-05	8.5251491901108E-05	0.0002344416	-0.0002131287	-0.0004901961	-0.0003623188	0.0002770673	0	-0.0001491901	-0.0004475703	0.0003196931	-0.0002131287	-4.26257459505544E-05	-8.5251491901108E-05	6.39386189258312E-05	-0.0002131287	-0.0002770673	-0.0002770673	-0.0001065644	-0.0002557545	-0.0008951407	-0.0001918159	2.13128729752768E-05	-0.0002557545	-0.0003623188	-0.000170503	0.0001918159	-0.0003623188	-0.0002983802	-0.0006820119	-0.0002344416	-0.0002557545	0.0002770673	-2.13128729752768E-05	-0.0004262575	-0.0003623188	-0.0004901961	-8.5251491901108E-05	-0.0002770673	-0.0001278772	-0.0001491901	-6.39386189258312E-05
0.0	0.0	0.0002983802	4.26257459505544E-05	0.0005754476	0.0003623188	0.0003836317	0.0001918159	-0.000170503	-0.0003623188	0.0005541347	-0.0001065644	8.5251491901108E-05	-4.26257459505544E-05	-4.26257459505544E-05	-2.13128729752768E-05	0.0001065644	0.0006820119	0.0005541347	-0.000341006	-0.0001278772	0.0002770673	0.000341006	2.13128729752768E-05	-0.0003623188	0.000170503	-0.0001065644	0.0001918159	-0.0001491901	-6.39386189258312E-05	-0.000341006	-0.0004262575	-2.13128729752768E-05	0.0004049446	0.0001065644	2.13128729752768E-05	-2.13128729752768E-05	-0.0001491901	-0.0003196931	0.0002557545	0	0.0008525149	0.0003836317	0.0002557545	0.000170503	0.0001065644	0.0001065644	-2.13128729752768E-05	0.0001918159	8.5251491901108E-05	-0.0001918159	-8.5251491901108E-05	0.0004475703	0.0001918159	-2.13128729752768E-05	-2.13128729752768E-05	0.0002131287	0.0002770673	-0.000170503	0.0001918159	6.39386189258312E-05	0.0004262575	0.0004475703	-4.26257459505544E-05	-4.26257459505544E-05	-6.39386189258312E-05	-8.5251491901108E-05	0.0005541347	-0.0004688832	0.000170503	0.0003196931	0.0003836317	-0.0005967604	-0.0002770673	0.0002557545	0.0001918159	-0.0002983802	0.0002983802	4.26257459505544E-05	0.0003623188	-8.5251491901108E-05	0.0001918159	0.0006606991	-8.5251491901108E-05	0.0001065644	-0.0003623188	0.0001491901	0.0001491901	6.39386189258312E-05	0.000170503	0.0005754476	-6.39386189258312E-05	0.0002344416	-0.000170503	0.0002344416	6.39386189258312E-05	0.0004901961	0.0004901961	0.000170503	0.0001491901	6.39386189258312E-05	0.0007033248	0.0001278772	0.000341006	0.0002557545	2.13128729752768E-05	2.13128729752768E-05	-0.0001918159	-0.000170503	0.0002131287	0.0004688832	0.0001491901	0.0001278772	-0.0003623188	0.000170503	0.0005967604	-0.0001065644	0.0001491901	0.000170503	0.0002983802	-0.0004475703	-0.0005328218	0.0001278772
2.5	0.0	0.0003623188	0.0008098892	0.0008951407	4.26257459505544E-05	0	-6.39386189258312E-05	0.0004049446	0.0007246377	0.001001705	0.0013640239	0.0004688832	0.0016197783	0.0014919011	0.0016410912	0.0015771526	0.0014492754	0.0012574595	0.0011935209	0.001342711	0.0013640239	0.001172208	0.0022591645	0.001683717	0.0011935209	0.0019394714	0.0016624041	0.0013213981	0.0017263427	0.0007459506	0.0013000853	0.0004262575	0.0004049446	0.0009377664	0.0011082694	0.0005541347	0.0011295823	0.0007672634	0.0007672634	0.0012148338	0.0006606991	0.0004475703	0.0010230179	4.26257459505544E-05	0.0004262575	0.0014492754	0.0008738278	0.0016624041	0.0007885763	0.0003196931	0.0006820119	0.000831202	6.39386189258312E-05	-0.0002770673	0.0004262575	0.0001491901	0.000341006	0.0007885763	0.0003836317	0.0002557545	0.0002983802	0	0.000341006	0.0007246377	0.0001278772	0.0008098892	0.0003623188	0.0006820119	0.0002983802	0.0004475703	0.0006393862	4.26257459505544E-05	4.26257459505544E-05	0.0004475703	0.0009590793	0.0005967604	0.0001065644	0.0010656436	-0.0008525149	0.0004262575	0.0003836317	0.0002770673	0.0002344416	0.0002983802	0.0005328218	0.0004688832	-0.0001065644	0.0002557545	0.0004901961	0.0012787724	0.0001918159	0.0002983802	0.000341006	-0.0005328218	-6.39386189258312E-05	0.0004262575	0.0005541347	0.0002344416	0.0005967604	0.0004475703	0.0007672634	0.0001278772	-4.26257459505544E-05	0.0001278772	0.0002131287	0.0004049446	0.0001918159	0.0007246377	0.0002770673	-0.000170503	0.0011082694	0.0002557545	0.0008525149	0.0002983802	0.0007246377	0.0007885763	0.0009164535	0.0004262575	0.0006820119	6.39386189258312E-05	0.0008098892	0.0005754476
2.5	0.0	0.0007459506	0.001001705	6.39386189258312E-05	0.0004262575	6.39386189258312E-05	0.0004475703	0.0004688832	0.0011082694	0.0011935209	0.0009164535	0.0007246377	0.0020673487	0.0010443308	0.0016410912	0.0017050298	0.0011295823	0.0017689685	0.0025362319	0.0015984655	0.0022591645	0.0011082694	0.0020673487	0.0021952259	0.0013213981	0.002514919	0.000831202	0.0019607843	0.0011508951	0.0011295823	0.0011082694	0.0012574595	0.0002131287	0.0013853367	0.0009164535	0.0011295823	0.0010656436	0.0010230179	0.0001278772	0.000831202	0.0020034101	0.0015345269	0.0002557545	-0.0004049446	0.0007459506	0.0009377664	0.0002344416	0.0003836317	0.0007246377	0.0010869565	0.0004262575	0.0003196931	0.0001278772	0.0002344416	-2.13128729752768E-05	0.0004049446	0.0004688832	0.0005328218	0.0001278772	-0.0003196931	4.26257459505544E-05	0.0005754476	-0.0002344416	-4.26257459505544E-05	-0.0002557545	0.0002983802	0.0001065644	0.001513214	0.0001065644	0.0002557545	0.0003836317	0.0010656436	0.0001065644	0	0.0003836317	0.000341006	0.0005541347	0.0001065644	-0.0002770673	-0.000341006	0.0007033248	0.0010443308	0.0002344416	4.26257459505544E-05	0.000341006	0.0005328218	0.0002770673	0.000831202	0.0004901961	0.0001918159	0.0003196931	-0.0002131287	0.0002770673	0.0002983802	-6.39386189258312E-05	-2.13128729752768E-05	0.0004262575	0.0006180733	-0.0004262575	-6.39386189258312E-05	0.0003196931	-0.0003836317	8.5251491901108E-05	-0.0002557545	0.0009803922	0.0010443308	-0.0002557545	-0.0001065644	2.13128729752768E-05	-0.0001065644	0.0008525149	0.0003836317	0.0005967604	-0.0002770673	0.0001491901	0.0005967604	0.0007246377	-8.5251491901108E-05	0.0002344416	-0.0002557545	0.001513214	0.0014066496
2.5	0.0	0.0013213981	0.0006820119	0.0003196931	0.0001065644	0.0007033248	0.0004475703	0.0011082694	0.0005967604	0.0008738278	0.0008525149	0.0006606991	0.0012361466	0.0013640239	0.0013213981	0.0019607843	0.0018329071	0.0015771526	0.0021526002	0.0010869565	0.0016197783	0.0016197783	0.0015558397	0.0019394714	0.0011295823	0.0021312873	0.0014705882	0.0011935209	0.0012148338	0.0019607843	0.0014919011	0.0017050298	0.0010443308	0.0013853367	0.0006606991	0.0008738278	0.0002983802	0.0012787724	0.0004475703	0.0010869565	0.0014279625	0.0012787724	0.0009590793	0.000170503	0.0008738278	0.0008098892	0.0004901961	0.0007672634	-4.26257459505544E-05	0.000511509	0.0007459506	0.000831202	-0.0001278772	0.0005541347	0.0002344416	2.13128729752768E-05	0.0004688832	0.0004049446	0.000831202	6.39386189258312E-05	4.26257459505544E-05	0.000511509	0.0006606991	-4.26257459505544E-05	0.0008951407	0.0006180733	0.0006820119	0.0006820119	0.000170503	0.0002557545	0.0003836317	-0.0006606991	0.0004901961	0.0006393862	0.0003196931	8.5251491901108E-05	-2.13128729752768E-05	0.0001065644	-8.5251491901108E-05	-8.5251491901108E-05	0.0003196931	0.0010443308	0.0004901961	0.0008738278	0.0010443308	0.0001491901	2.13128729752768E-05	0.000511509	0.0009377664	0.000511509	0.0005754476	0.0009377664	0.0005967604	0.0008738278	-0.0002557545	-2.13128729752768E-05	0.0008098892	0.0002983802	-0.0001065644	-0.0001918159	0.0003836317	0.0001278772	0.0005328218	0.0001278772	0.0005328218	0.0004688832	0	0.0004688832	0.0009164535	0.0005967604	0.0005967604	0.0001918159	0.0005967604	0.0001065644	0.0004049446	0.0004688832	0.0005328218	0.0007459506	0.000170503	-0.0002557545	0.0002983802	0.0014705882
5.0	0.0	0.0019607843	0.0018329071	0.0007672634	0.0007459506	0.0015984655	0.0017263427	0.0018115942	0.0021312873	0.0031756181	0.0030903666	0.0030903666	0.0037297528	0.0043052003	0.0043904518	0.0040068201	0.004198636	0.0045183291	0.005029838	0.0046035806	0.0055839727	0.0043052003	0.0042412617	0.0044970162	0.0043904518	0.0039855072	0.0037084399	0.0031756181	0.0042838875	0.0038150043	0.0028346121	0.0020886616	0.0026427962	0.0027919864	0.0024509804	0.0022165388	0.0029198636	0.002685422	0.0018542199	0.0028772379	0.0023231032	0.0012787724	0.0008951407	0.0009377664	0.0017050298	0.0019607843	0.001513214	0.0012148338	0.0002131287	0.0018542199	0.001513214	0.0010869565	0.0005754476	0.0010656436	0.001001705	0.0009164535	0.0015558397	0.0008525149	0.0010230179	0.0009590793	0.0011935209	0.0011508951	0.0009803922	0.0008525149	0.0007033248	0.0009377664	0.0016410912	0.0013213981	0.0013213981	0.001342711	0.0011508951	0.0009377664	0.0007459506	0.0012787724	0.0008951407	0.0010443308	0.0011295823	0.0008098892	0.0002344416	0.001001705	0.0004475703	0.0012361466	0.0002983802	0.0011935209	0.0005967604	0.0008525149	0.0004688832	0.0009590793	0.0008098892	0.0001278772	0.0015345269	0.0011295823	0.0007885763	0.0013213981	0.0007033248	0.0005541347	0.0014492754	0.0003623188	0.0019394714	-0.0001918159	0.0008951407	0.0007033248	0.001172208	0.0003836317	0.0012361466	0.0005967604	0.0003196931	0.0004688832	0.0004049446	0.0010443308	0.0014919011	0.0007033248	0.0011082694	0.000170503	0.0007246377	0.0008525149	0.0009164535	0.0007459506	0.0010656436	0.0001918159	0.0006820119	0.0005754476
5.0	0.0	0.0022165388	0.0017050298	0.0007033248	0.0006180733	0.0012148338	0.001342711	0.001683717	0.0021312873	0.0027280477	0.0023231032	0.0034739983	0.003026428	0.0036018755	0.0044543905	0.0044543905	0.0043265132	0.0048380222	0.0049658994	0.0051150895	0.0058397272	0.0050724638	0.0050085251	0.0037936914	0.0045822677	0.0044970162	0.0038363171	0.0038789429	0.0037084399	0.0033674339	0.0037297528	0.0036231884	0.0032182438	0.0031116795	0.0028346121	0.0027919864	0.0025362319	0.0023017903	0.0016624041	0.0024296675	0.0023231032	0.0015984655	0.0010230179	0.0008098892	0.0020247229	0.0010656436	0.0013853367	0.0012148338	0.0010443308	0.0019181586	0.0013213981	0.0010230179	0.0008951407	0.0011935209	0.0004901961	0.0009803922	0.0006606991	0.0008525149	-6.39386189258312E-05	0.0007033248	0.0009377664	0.0010230179	0.0005328218	0.0008525149	0.0005754476	0.0013213981	0.0005541347	0.0009377664	0.0009377664	0.0001278772	0.0007033248	0.0008738278	0.0006820119	0.0008951407	0.0003196931	0.0015558397	0.0001065644	0.0004262575	0.0001065644	0.0008738278	0.0009590793	0.001172208	0.0006180733	0.0013853367	0.001172208	0.0008525149	0.0005328218	0.0003836317	0.0006180733	0.0004475703	0.0012787724	0.0013213981	0.0013640239	0.0003623188	0.0006393862	0.0004262575	0.0005541347	0.0011295823	0.001172208	0.0006393862	0.0015984655	-0.0001278772	0.0002770673	0.0001918159	0.0004049446	0.0007246377	0.0007672634	0.0002131287	0.0008525149	0.0012361466	0.0009803922	0.0006393862	0.0002770673	0.0006820119	0.0009803922	0.0007885763	0.0004049446	0.0002983802	0.0006180733	-0.0003196931	0.0015771526	0.0010869565
5.0	0.0	0.0019607843	0.0016410912	0.0009590793	0.001001705	0.0014705882	0.0017902813	0.0011082694	0.0019394714	0.0022804774	0.002514919	0.0028346121	0.0034100597	0.00385763	0.0038789429	0.0034953112	0.0040068201	0.0052216539	0.0052216539	0.0047314578	0.0043052003	0.00385763	0.0046888321	0.0042412617	0.0040068201	0.0045609548	0.004028133	0.0031756181	0.0034526854	0.0038789429	0.0037936914	0.0033674339	0.0028346121	0.0029198636	0.0020034101	0.0022165388	0.0024083546	0.0019181586	0.0015345269	0.0021099744	0.0017476556	0.0019820972	0.001342711	0.0008098892	0.0017689685	0.0013213981	0.001001705	0.0014066496	0.0005967604	0.0011508951	0.001001705	0.0016624041	0.000831202	0.0009377664	0.0004901961	0.0001491901	0.0018755328	2.13128729752768E-05	0.0012148338	0.000511509	0.0004901961	0.0010230179	0.0005328218	0.0001491901	0.0002557545	0.0003623188	0.0008098892	0.0008098892	0.0008098892	0.0008951407	0.0008951407	0.0013213981	0.0006180733	0.0007033248	0.0003836317	0.0002770673	0.0005541347	0.0007459506	-8.5251491901108E-05	-0.0001491901	0.000511509	0.0001491901	0.0006180733	0.0014492754	8.5251491901108E-05	0.000341006	0.0006606991	0.0007033248	0.0003623188	0.0003196931	0.000511509	0.0012574595	0.0005967604	0.0002344416	0.0003196931	-2.13128729752768E-05	0.0004901961	0.0006180733	0.0007885763	0	0.0009590793	0.0001918159	0.0002770673	0.0007672634	8.5251491901108E-05	0.0009164535	0.0004475703	0.0014279625	0.0006606991	0.0012361466	0.0002131287	0.0010230179	0.0009164535	0.0006180733	0.0007246377	0.0007885763	0.0005328218	0.0005541347	0.0006180733	0.000831202	0.0008098892	0.0008951407
10.0	0.0	0.0017689685	0.0027280477	0.0017902813	0.0012574595	0.0023657289	0.0029411765	0.0023870418	0.0028346121	0.0043265132	0.0050085251	0.0055839727	0.0069906223	0.0073103154	0.0061167945	0.0075873828	0.0075873828	0.00771526	0.0079710145	0.0074808184	0.0076939471	0.0064791134	0.0066709292	0.0071184996	0.0057331628	0.0066709292	0.005370844	0.0042625746	0.0049232737	0.0039428815	0.0035379369	0.0043265132	0.0029624893	0.0036231884	0.0020673487	0.0032395567	0.0031116795	0.0019820972	0.0017263427	0.0023017903	0.0021952259	0.0017902813	0.0015345269	0.0010656436	0.0017050298	0.0015771526	0.0012574595	0.0023017903	0.0012361466	0.0015345269	0.0005541347	0.0014066496	0.0012787724	4.26257459505544E-05	0.0008098892	-0.0001065644	0.0005328218	0.0013000853	0.0016624041	0.0001918159	4.26257459505544E-05	0.0002557545	0.000341006	0.0005328218	0.0010869565	0.0001065644	0.0004901961	0.0006180733	0.0002344416	0.0007033248	0.0001278772	0.0002344416	4.26257459505544E-05	0.0009590793	0.000831202	0.0002770673	0.001001705	0.0004262575	0.0002344416	-0.0002770673	0.0002557545	0.0012361466	-2.13128729752768E-05	0.0006820119	0.000341006	0.0007246377	0.0005967604	0.0014066496	0.0004901961	0.0012148338	-6.39386189258312E-05	0.0002983802	2.13128729752768E-05	-2.13128729752768E-05	-0.0001918159	-0.0002131287	0.0013853367	0.0006820119	0.0007246377	0.0002557545	0.000511509	-0.0001918159	8.5251491901108E-05	0.0003196931	2.13128729752768E-05	0.0001491901	-0.0001278772	0.0004049446	0.0002770673	0.000341006	0.0002131287	-6.39386189258312E-05	0.0004049446	-0.0002131287	0.0002131287	0.0001491901	8.5251491901108E-05	0.0002344416	0.0004262575	-0.0001278772	0.0006180733	-0.0003836317
