GFP (nM)	mCherry (nM)	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150	152	154	156	158	160	162	164	166	168	170	172	174	176	178	180	182	184	186	188	190	192	194	196	198	200	202	204	206	208	210	212	214	216	218	220	222	224	226	228	230	232	234	236	238	240	242	244	246	248	250	252	254	256	258	260	262	264	266	268	270	272	274	276	278	280	282	284	286	288	290	292	294	296	298	300	302	304	306	308	310	312	314	316	318	320	322	324	326	328	330	332	334	336	338	340	342	344	346	348	350	352	354	356	358	360
1	0	0.0003793135	0.002137108	0.0045055047	0.00316403	0.0013692293	0.0014432417	0.0010546767	0.0007678786	0.0008974003	0.0016005181	0.0022851328	0.004005921	0.0059672495	0.0082246276	0.0120455176	0.0164862614	0.0218614118	0.0279859376	0.034202979	0.0411416412	0.0482653344	0.0556203164	0.0633083541	0.0735683227	0.0798316218	0.0882967897	0.0966046813	0.1049588306	0.1129244148	0.1213710797	0.1290591174	0.1368396706	0.1440651309	0.1515311315	0.1586548247	0.165056897	0.1719215469	0.1782496068	0.18405958	0.1895364974	0.1945230826	0.2000092515	0.2047737996	0.2092793043	0.2133129799	0.2176242021	0.2215006014	0.2233416597	0.2281524655	0.2311962254	0.2342307336	0.23755204	0.2390600426	0.2408085854	0.2440096216	0.2456286428	0.2480710519	0.25032843	0.2514848737	0.253020631	0.2544546211	0.255546304	0.2564622074	0.2579424554	0.258525303	0.2589786289	0.2604218707	0.2612915163	0.2612915163	0.2623831992	0.2632805995	0.2634193727	0.2642242576	0.2646035711	0.2648348598	0.2650383939	0.2657785179	0.2655657323	0.2651494125	0.2625867333	0.2636229068	0.2652049218	0.2656767509	0.2634471274	0.2661393283	0.2658155241	0.265695254	0.2657415117	0.2652141734	0.2654639652	0.2651956703	0.2653066889	0.2653621982	0.2683597002	0.2648071052	0.2624664631	0.2641779998	0.2644185401	0.2674715515	0.2639929688	0.2611804977	0.2605976501	0.2630770654	0.2630123046	0.2625867333	0.2616615783	0.2618651124	0.2614672958	0.2608474419	0.261050976	0.2609307059	0.2605513924	0.2597465075	0.2602183366	0.2594134518	0.2587380886	0.2562679249	0.2577019151	0.2581459895	0.2572578407	0.2578961976	0.256758257	0.2568877787	0.2556665742	0.2555370525	0.2552039967	0.2545286335	0.2542510871	0.2536589879	0.2531316496	0.2532611712	0.2526875752	0.2516884078	0.2520492182	0.2518456842	0.2511425664	0.2506799889	0.2501063928	0.2474974558	0.2488481821	0.2485151263	0.2484503654	0.2486261449	0.2480525488	0.2448052549	0.2470256268	0.246035711	0.2458784346	0.2457396614	0.2450180405	0.2445184568	0.2438893515	0.2435470441	0.24334351	0.2429179388	0.2427791655	0.2399944491	0.2407438246	0.2378480896	0.2416689796	0.2396706448	0.2390415395	0.238495698	0.2365991304	0.2381533907	0.2373947636	0.2366823943	0.2350633731	0.2360070312	0.2352854103	0.234304746	0.2339716903	0.2337866593	0.2327504857	0.2328522528	0.2322231474	0.231594042	0.2311684707	0.2307614025	0.2302155611	0.2291146267
1	0	0.0001572763	0.0020260894	0.0047552965	0.0041631973	0.0015080026	0.001110186	0.0009714127	0.0007123693	0.0007031178	0.001211953	0.0019243223	0.0033953187	0.0050791007	0.0074752521	0.0108520677	0.015181793	0.0203904154	0.0264039227	0.032704228	0.0391433065	0.046405773	0.0536497363	0.0612822648	0.071014895	0.0773059487	0.0856323434	0.0941622722	0.1020723471	0.1103709871	0.1188731613	0.1262836525	0.1341474697	0.1413451753	0.1485058747	0.155546304	0.1620593949	0.1687575169	0.1742251827	0.1801461745	0.1852900361	0.1914145619	0.196650939	0.2013322231	0.2060320104	0.2104264964	0.213988343	0.2181422888	0.2201776298	0.225349246	0.228143214	0.2315662874	0.2339994449	0.237283745	0.237838838	0.2415394579	0.2436025534	0.2458229253	0.2476639837	0.2494310297	0.2496345638	0.2512628365	0.2526320659	0.2541585716	0.2552224998	0.2562771764	0.2572578407	0.2575631418	0.2584605421	0.2600703118	0.2599130354	0.2601998335	0.2606439079	0.2608381904	0.2622721806	0.2620593949	0.2621241558	0.2630308077	0.2630955685	0.2627625127	0.2600333056	0.2604588769	0.2625682302	0.262818022	0.2602275881	0.263558146	0.2631788325	0.2632528449	0.2636876677	0.2641594967	0.2639374595	0.2633361088	0.2631973356	0.2625034693	0.2664723841	0.2623924507	0.2599130354	0.2624017023	0.2623646961	0.2653621982	0.2619668795	0.2597927653	0.2593209363	0.2615228051	0.2610139698	0.2611434915	0.2606901656	0.2595059672	0.2601628273	0.2600703118	0.2594412064	0.2595984827	0.2593579425	0.2584142844	0.2589416227	0.2584975483	0.2579887131	0.255629568	0.2577019151	0.2569247849	0.2561754094	0.2563141826	0.2558423536	0.2547784254	0.2546396521	0.2549542048	0.2542048293	0.2534462022	0.2534184476	0.253409196	0.2529651217	0.2514848737	0.2524377833	0.2517161625	0.2519659543	0.2512628365	0.2499213618	0.2502636692	0.2497178277	0.2463317606	0.2478490147	0.2478767694	0.2474511981	0.2474049403	0.2472199093	0.2438060875	0.2460542141	0.245563882	0.2453233417	0.2442131557	0.2441298918	0.243713572	0.2425293737	0.2430474604	0.2420667962	0.2416689796	0.2418632621	0.2390230364	0.2399944491	0.2377093163	0.2405587936	0.2391710612	0.238125636	0.2377463225	0.2360162827	0.2369599408	0.2366731428	0.2365158664	0.2337033953	0.2349801092	0.2348413359	0.23438801	0.233361088	0.2335923767	0.2327227311	0.2323249144	0.232250902	0.2308724211	0.2310852068	0.2298732538	0.2297159774	0.2287260616
1	0	-0.0018133037	-0.0004995837	0.0027014525	0.0034138218	0.0010361736	0.0004995837	0.0004995837	0.0002960496	0.0003423073	0.0008511426	0.0015912665	0.0027292071	0.0043852345	0.0066426126	0.0098529004	0.0137107966	0.0183088167	0.0234619299	0.0291516329	0.0353409196	0.0415487094	0.0485983902	0.0557590896	0.0645480618	0.0705615691	0.0779720603	0.0852252752	0.092913313	0.100185031	0.106799889	0.1138495698	0.1207697289	0.1276621334	0.1339624387	0.1401147192	0.1465167916	0.1522157461	0.157600148	0.1631048201	0.168304191	0.1727356832	0.1775834952	0.1818762143	0.1859098899	0.1894439819	0.1921176797	0.1963826441	0.1980571746	0.2011749468	0.2040244241	0.2070589324	0.2097973911	0.2119437506	0.2122768064	0.2148672403	0.2172633916	0.218734388	0.2205476917	0.2213710797	0.2221297067	0.2232306411	0.2242945693	0.2251827181	0.2256082894	0.2272735683	0.227671385	0.2286427977	0.2285687853	0.2290128597	0.229826996	0.2294199278	0.2298084929	0.2299195115	0.2303543344	0.2309464335	0.2313720048	0.2313905079	0.2314830234	0.2305948746	0.2293921732	0.229456934	0.2310667037	0.2310667037	0.2294754371	0.2309741882	0.2301230456	0.230197058	0.2307151448	0.2304931076	0.2299935239	0.2301415487	0.229170136	0.230668887	0.2318623369	0.2290313628	0.2276343788	0.2282357295	0.2282264779	0.2292533999	0.2280506985	0.2261541308	0.2262651494	0.2270237765	0.2262373948	0.2258673328	0.2256082894	0.2250902026	0.2245813674	0.2243778333	0.2239152558	0.2234064206	0.2229438431	0.2218336571	0.2222777315	0.2222777315	0.2218521602	0.2199370895	0.2205384402	0.219206217	0.2202331391	0.2194004996	0.218262559	0.2178369877	0.2179480063	0.2173466556	0.2167915626	0.2160051809	0.215838653	0.2152187991	0.2146081969	0.2143491535	0.2137755574	0.2126653714	0.2119992599	0.2122120455	0.2118419835	0.2112406328	0.2109445832	0.2086964567	0.2092422981	0.2077990563	0.2079840873	0.2074382459	0.207169951	0.2053103895	0.2058654825	0.2051253585	0.2045240078	0.204107688	0.2031917846	0.2034415765	0.2020630956	0.2018318068	0.201683782	0.200925155	0.2007586271	0.198417985	0.1986677769	0.1968267185	0.196650939	0.1966231844	0.1953557221	0.1950874271	0.1936626885	0.1938292164	0.1927375335	0.1927190304	0.1908779721	0.1913775557	0.1909889907	0.1892867055	0.189647516	0.1887408641	0.1882597835	0.1875844204	0.1867887871	0.1863817189	0.1852622814	0.1843833842	0.1834767324	0.18340272
2	0	-0.0003145527	0.001110186	0.0041724489	0.004107688	0.0013692293	0.0009714127	0.0009159034	0.0008233879	0.0012582108	0.0025441761	0.0045055047	0.0075307614	0.0121010269	0.0184660931	0.0266999722	0.0370247016	0.0492552503	0.0630123046	0.0779443057	0.0935146637	0.1105190119	0.1281709686	0.1451013045	0.1667961884	0.1825515774	0.2006198538	0.2187806458	0.2371542233	0.2546951614	0.2726061615	0.2893977241	0.3071421963	0.3224720141	0.3379868628	0.3519937089	0.3679711352	0.3811360903	0.3936256823	0.405957998	0.4174576742	0.4286890554	0.438949024	0.4485428809	0.4572115829	0.4658247756	0.473438801	0.4817281895	0.4858451291	0.4939309834	0.501026922	0.5054214081	0.5113238968	0.5151077806	0.5158571561	0.5232491442	0.5259505967	0.5282819872	0.5330650384	0.5360532889	0.5370894625	0.5398556758	0.5415857156	0.542584883	0.5438708484	0.5448700157	0.5456841521	0.5467943381	0.5471366454	0.5516606532	0.5495327967	0.5511795726	0.5512905912	0.5512628365	0.5525858081	0.5522064946	0.5528818577	0.551540383	0.552465538	0.5504949579	0.5483208437	0.5493292627	0.5498010917	0.5505782219	0.5481265612	0.5497640855	0.5490794708	0.5487649181	0.5492552503	0.547617726	0.5471458969	0.5461837358	0.5464335276	0.5455731335	0.54901471	0.5448515126	0.5417614951	0.543611805	0.5430752151	0.5450735498	0.5404570266	0.5373947636	0.5371172171	0.5376815617	0.5373392543	0.5357202331	0.5354611897	0.5336386345	0.5326857249	0.5323156629	0.5320473679	0.5311777223	0.5305208622	0.5286057915	0.5274123416	0.5258858359	0.5262373948	0.52226848	0.5245628643	0.522842076	0.5212600611	0.5218706633	0.5198168193	0.5182255528	0.5164215006	0.5152095476	0.5159866778	0.514728467	0.5123970765	0.5116384494	0.5113886576	0.509963919	0.5093348136	0.5066981219	0.5055601813	0.50632806	0.5041817004	0.5045240078	0.5022851328	0.4993708946	0.4999444907	0.4976686095	0.4981866963	0.4964751596	0.4955685077	0.4920159127	0.4925987603	0.4911647701	0.490591174	0.4900915903	0.4880099917	0.4865389953	0.4850772504	0.4856230919	0.4823110371	0.4820242391	0.4805809973	0.4779350541	0.4778795448	0.4744564715	0.4757794431	0.4743362013	0.4723748728	0.4713294477	0.4693496161	0.4700434823	0.4684244611	0.4671847534	0.4643722824	0.4639837173	0.4632343418	0.4619206217	0.459922287	0.4593486909	0.4569247849	0.4561384032	0.4543436026	0.4531316496	0.4519567027	0.4510500509	0.4490609677	0.4479600333
2	0	-0.0008974003	0.0008048848	0.0044222407	0.0050513461	0.0017022851	0.0009991674	0.0008881488	0.0007956333	0.0010361736	0.0020445925	0.003922657	0.0068646498	0.010907577	0.0167175502	0.024424091	0.0344435193	0.0456749005	0.0590433898	0.0728652049	0.0880747525	0.1035525951	0.1202608937	0.1376075493	0.1576926635	0.1722823573	0.1895735036	0.2074289944	0.2245258581	0.2421500601	0.2573688593	0.2740771579	0.289462485	0.3060135073	0.319474512	0.3330372837	0.3470163752	0.3596262374	0.3723933759	0.3828938847	0.394782126	0.4046535295	0.4135812749	0.4236192062	0.4316495513	0.4393745952	0.4469608659	0.4541400685	0.4581737441	0.4658710334	0.4718290314	0.4763900453	0.481182348	0.4866592654	0.486215191	0.4918586363	0.4953927283	0.4995004163	0.5019243223	0.5040244241	0.5050883523	0.5080210935	0.509695624	0.5111111111	0.5127578869	0.5130909427	0.5142658895	0.5160699417	0.5165510223	0.5182718105	0.5185863632	0.5179572578	0.5168748265	0.5181515404	0.5188084004	0.5179017485	0.5186881303	0.5185678601	0.5184660931	0.5182163012	0.5148487372	0.5141918771	0.5164400037	0.5168563234	0.5129336664	0.5150152651	0.5151355352	0.5145711907	0.5153390693	0.5147007124	0.513784809	0.5137385512	0.5120732723	0.5113238968	0.5153760755	0.509408826	0.5062077898	0.5088907392	0.5074382459	0.5110741049	0.5073457304	0.5031455269	0.5024516607	0.5035433435	0.5034230734	0.502053844	0.5019335739	0.4994171524	0.4988528078	0.4987602923	0.4969377371	0.497289296	0.4961050976	0.4946341012	0.4943288001	0.4928855583	0.4937367009	0.4891016745	0.4905356647	0.4887871218	0.488065501	0.4872328615	0.4867610325	0.4839208067	0.4845036544	0.4828198723	0.4817929503	0.4806735128	0.478841706	0.4787769451	0.4780275696	0.4748265334	0.4750300675	0.4748080303	0.4720048108	0.4715792395	0.4699602183	0.4693588676	0.4675363123	0.4645388103	0.4657230086	0.4645295587	0.4641594967	0.4619483764	0.4615690628	0.4568507725	0.4596817467	0.4569710426	0.457230086	0.454704413	0.4530113794	0.4518734388	0.4507447497	0.4509020261	0.4505042095	0.4484411139	0.4474974558	0.4436858174	0.4445739661	0.4411786474	0.441557961	0.4413636784	0.4384586918	0.4383569248	0.434489777	0.436155056	0.4340919604	0.4327412342	0.4312609862	0.4312054769	0.4299010084	0.4273383292	0.4268387455	0.4254047553	0.4236469609	0.4212785642	0.4213988343	0.4196317883	0.4188731613	0.4171061153	0.4153113146	0.413044685
2	0	-0.0011749468	0.0002220372	0.0037006199	0.0045795171	0.0015912665	0.0009436581	0.0007493755	0.0007123693	0.000925155	0.0019058192	0.0035618466	0.006059765	0.009963919	0.014996762	0.0222314738	0.0311407161	0.0413174207	0.0533536867	0.0664816357	0.081080581	0.0960033306	0.1127116292	0.130280322	0.1500878897	0.1655934869	0.1840503284	0.2025164215	0.2207234712	0.2390970488	0.2564529559	0.2744102137	0.2917661208	0.3090942733	0.3252752336	0.3414469424	0.3567860117	0.3718382829	0.3872421131	0.4001295217	0.4143491535	0.426274401	0.4378665927	0.449403275	0.4600980664	0.4687112591	0.4785179017	0.4870015728	0.4925617541	0.5029234897	0.5091867888	0.5172726432	0.5230363586	0.5279026737	0.5296234619	0.5380701267	0.5416319734	0.5466833195	0.5494680359	0.5552039967	0.5552132482	0.5581182348	0.5612637617	0.563844944	0.5655194745	0.566823943	0.5687205107	0.5698306966	0.571755019	0.5736145804	0.5731797576	0.574548987	0.5738273661	0.573993894	0.5771764271	0.5773799611	0.5772504394	0.5780738274	0.5780830789	0.5782496068	0.5738273661	0.5745859932	0.5769451383	0.5777777778	0.5735498196	0.5766583403	0.5746692571	0.5754648904	0.5755111481	0.5750670737	0.5739291331	0.5729392173	0.5738828754	0.5733000278	0.579128504	0.5711351651	0.5669627163	0.57008974	0.5691923397	0.5746322509	0.5681284115	0.5643722824	0.5635951522	0.5662966047	0.564400037	0.5651679156	0.5631048201	0.5623369414	0.5614395411	0.5608751966	0.5607456749	0.5595984827	0.5562216671	0.5559441206	0.555361273	0.555444537	0.5558793598	0.5506614858	0.5530113794	0.5514848737	0.5497363308	0.5481265612	0.5465445462	0.5452030715	0.5444814506	0.5434915348	0.5434637802	0.5406513091	0.5402072347	0.5389212693	0.5390877972	0.5374132667	0.5363678416	0.5353964289	0.5334258488	0.5323896753	0.5312979924	0.5303080766	0.5295124433	0.5247663984	0.5261171246	0.5253955037	0.5245258581	0.5239245074	0.5203534092	0.517522435	0.5184383384	0.5161994634	0.5164307522	0.5141826256	0.5137107966	0.5116847072	0.5098066426	0.5096586178	0.5080951059	0.5077527986	0.505587936	0.5023591452	0.5025256731	0.4969932464	0.4979276529	0.4978721436	0.4946618559	0.4946433528	0.4910259969	0.4907484504	0.4886853548	0.4880840041	0.4846054214	0.4865482468	0.4845499121	0.4825700805	0.4813211213	0.4792487742	0.4778240355	0.4764548062	0.4751873439	0.4739198816	0.4718290314	0.4702840226	0.468961051	0.4668609492
4	0	0.0020445925	0.0034138218	0.0063928208	0.0061060228	0.0025626792	0.0017207882	0.0017762975	0.0020168378	0.0033675641	0.0068183921	0.0123600703	0.0217688963	0.0344990286	0.0526320659	0.0759367194	0.0843186234	0.1103709871	0.1407253215	0.173337034	0.2083911555	0.2464890369	0.2836525118	0.3242853178	0.3713757054	0.4056711999	0.4462484966	0.4866407623	0.5264686835	0.5669627163	0.6077990563	0.6446017208	0.6839948191	0.7191414562	0.7535017115	0.7875196595	0.8179295032	0.8496623184	0.8789157184	0.9040151725	0.9262836525	0.9493385142	0.9707558516	0.9887593672	1.00250717	1.0200573596	1.0295309464	1.0452308262	1.0509297807	1.0653436951	1.0747432695	1.0814691461	1.0912295309	1.0952909612	1.0943195485	1.1075122583	1.1107132945	1.1118789897	1.1182718105	1.1196225368	1.1221574614	1.1255065223	1.1276251272	1.124322324	1.1290221112	1.1261633824	1.1297529836	1.1273660838	1.1299287631	1.1282634841	1.1288278287	1.1305856231	1.1289758535	1.1285040244	1.1275233602	1.1235914516	1.1244888519	1.1213155704	1.1229623462	1.1197983162	1.1112406328	1.1095568508	1.1141086132	1.1131094458	1.1036913683	1.1093533167	1.1094180775	1.1068831529	1.1030992691	1.10065686	1.0986307707	1.0973355537	1.0963086317	1.0952817097	1.1044129892	1.0879544824	1.0837265242	1.0877139421	1.0845684152	1.093755204	1.0794523083	1.0703672865	1.0693681192	1.0742344343	1.0713664539	1.0691923397	1.0674067906	1.0668054399	1.0631325747	1.0604866315	1.0609399574	1.0579054492	1.0566934962	1.0510593024	1.0472569155	1.0472846702	1.0435007864	1.0353686743	1.0387454899	1.0364696087	1.035886761	1.0308354149	1.0282542326	1.0268017393	1.0213340735	1.0190119345	1.0150707744	1.0140068461	1.0134517532	1.0103894902	1.0053936534	1.0019150708	1.0032565455	0.9981496901	0.9964844111	0.9948098807	0.990859469	0.9863169581	0.9852437783	0.9771949302	0.9791007494	0.9756591729	0.9760939957	0.9725784069	0.9693403645	0.9605698955	0.9653714497	0.9608844481	0.9580904802	0.9555648071	0.952012212	0.9482098251	0.9444444444	0.9445184568	0.9417059858	0.9369784439	0.93570173	0.9268942548	0.9291146267	0.9203626607	0.9242945693	0.9193542418	0.9165325192	0.9145711907	0.9069571653	0.9085114257	0.9062818022	0.9037098714	0.8962068646	0.8974280692	0.8957350356	0.8927837913	0.8873161255	0.8877139421	0.8810990841	0.8761217504	0.8743824591	0.8708391156	0.8665556481	0.8661208252	0.8629382922	0.8587288371
4	0	-0.0012304561	0.0006106023	0.0042834675	0.0050791007	0.0016467758	0.0008881488	0.0009714127	0.0010731798	0.0018965677	0.0045702655	0.0089462485	0.0163844944	0.0269497641	0.0415857156	0.0610047183	0.0850402442	0.1137292997	0.1469423628	0.1816911833	0.2194652604	0.258895365	0.301026922	0.3429919512	0.3943843094	0.4308169118	0.4747802757	0.518364326	0.5620223888	0.6050420946	0.6446017208	0.6869275604	0.7263206587	0.7657137571	0.8034600796	0.8390600426	0.8725228976	0.9038949024	0.9334813581	0.9596632436	0.9831251735	1.0075677676	1.0303173282	1.0521509853	1.0679248774	1.0820334906	1.0961143492	1.1112591359	1.114543436	1.1334813581	1.1438245906	1.1518271811	1.1589786289	1.1667314275	1.1651216579	1.1756499214	1.1798223702	1.1819594782	1.1852437783	1.1902303636	1.1911277639	1.192728282	1.1939309834	1.1966231844	1.1961606069	1.1967989638	1.1975020816	1.1981404385	1.1977333703	1.1983994819	1.1980201684	1.1957257841	1.1960310852	1.1935609215	1.1940234989	1.1928393006	1.1915440836	1.1910352484	1.1871310945	1.1832731983	1.1760199833	1.1761957628	1.1793320381	1.1751133315	1.1681931724	1.1747432695	1.1725876584	1.1681654177	1.1690720696	1.1671292441	1.1692663521	1.1639744657	1.1607549265	1.1585067999	1.1700527338	1.1518456842	1.1449810343	1.1458044222	1.1450457952	1.1562309187	1.1429826996	1.1332038116	1.131122213	1.1338514201	1.1338976779	1.1310019428	1.1274956055	1.1226477935	1.1203904154	1.1213248219	1.1184753446	1.1171616246	1.1142288833	1.1096771209	1.1092608012	1.1055694329	1.1068646498	1.0947636229	1.0991673605	1.0953649736	1.0937274493	1.0923119623	1.0900083264	1.0821722639	1.0821167546	1.0796558424	1.077629753	1.0739568878	1.071569988	1.0710611527	1.0682856879	1.0642797669	1.0619853826	1.0584050328	1.0576556573	1.0541215654	1.049116477	1.0471273938	1.0433897678	1.0355907114	1.0381348876	1.036913683	1.0319918586	1.0297529836	1.0286242946	1.017994264	1.021713387	1.015755389	1.0156258673	1.0119622537	1.0099084097	1.0060227588	1.0034785827	0.9998057175	1.0003238042	0.9942362846	0.9939587381	0.9865389953	0.9851790175	0.9790082339	0.9789989823	0.9796095846	0.97259691	0.9704968082	0.9623554445	0.9662410954	0.9630955685	0.958997132	0.9537422518	0.9552687575	0.950883523	0.9473216764	0.9465445462	0.9410583773	0.9363863447	0.9351836433	0.932334166	0.9262373948	0.9252844852	0.9219076695	0.9185030993	0.9139605884
4	0	-0.0003423073	0.0009991674	0.0043112221	0.0050513461	0.001868813	0.0012212046	0.0010824313	0.0010454251	0.0020630956	0.0046812841	0.0087242113	0.0155518549	0.0253399944	0.0388380054	0.056841521	0.079128504	0.1057914701	0.1365343695	0.1703395319	0.2066426126	0.2445739661	0.2851512628	0.3286705523	0.3824498103	0.4178277361	0.4625127209	0.5089832547	0.5541123138	0.6002960496	0.6450735498	0.6898417985	0.7320103617	0.7744842261	0.8133129799	0.8544916273	0.891146267	0.9266814691	0.9604033676	0.990221112	1.0180127671	1.0436210565	1.0672587658	1.0894254788	1.1122768064	1.1258025719	1.1434082709	1.1587473402	1.1623091868	1.1852160237	1.198889814	1.2086131927	1.2169025812	1.2277916551	1.2191322046	1.2417059858	1.2441854011	1.2495142936	1.254436118	1.2595614765	1.2575168841	1.2600333056	1.265426959	1.268590989	1.2687112591	1.268405958	1.271856786	1.2688870386	1.2760569895	1.2736978444	1.2715144787	1.2700527338	1.2697751873	1.2686372467	1.2692385975	1.2719122953	1.2716995097	1.2688037746	1.2691738366	1.2638726987	1.2499028587	1.2480803035	1.2635396429	1.2598205199	1.2452123231	1.2565639745	1.2526875752	1.2536497363	1.2496160607	1.2480340457	1.2476732353	1.2457119067	1.2436025534	1.2426588954	1.2590341382	1.2408825978	1.2233046535	1.2321213803	1.2305023591	1.2469886206	1.2270792858	1.2128318993	1.2106115274	1.2201683782	1.2173559071	1.2165140161	1.2126468684	1.2097696364	1.2072902211	1.2044222407	1.2035155889	1.2022296235	1.2006846147	1.195438986	1.193385142	1.1958275511	1.1928485521	1.1765288186	1.1849292256	1.1799611435	1.1805995004	1.1729114627	1.170358035	1.1669627163	1.1678231104	1.1649736331	1.1642520122	1.158997132	1.1580257193	1.1536589879	1.1520492182	1.1496808215	1.148191322	1.1428346748	1.1388380054	1.1374132667	1.1347118142	1.1315570358	1.1298454991	1.1159126654	1.1236747155	1.1210102692	1.1163659913	1.1116014432	1.1098343973	1.0972337867	1.1038671477	1.0995189194	1.0992228698	1.0965584235	1.0951706911	1.090036081	1.0886853548	1.0838467943	1.0828106208	1.0813026182	1.0769451383	1.0609214543	1.0669997225	1.0523360163	1.0629567953	1.0600980664	1.0520307151	1.0503469331	1.0373207512	1.0467850865	1.0439171061	1.0394023499	1.0264039227	1.0345915441	1.0308446665	1.02292534	1.0239800167	1.0197983162	1.0168470719	1.0158108983	1.0111018596	1.0078915718	1.0036913683	0.9991488574	0.9946341012	0.9936441854
6	0	-0.0018965677	-0.0001387732	0.0031177722	0.0040521787	0.0013692293	0.0008326395	0.0008048848	0.0011841984	0.0032287908	0.0075677676	0.0145804422	0.0265982052	0.0434082709	0.0666204089	0.0965584235	0.1333888426	0.1770376538	0.2266537145	0.2806365066	0.3372282357	0.3980294199	0.459922287	0.5250346933	0.6035155889	0.6578221852	0.7234896845	0.7926635211	0.857415117	0.9214450921	0.9857618651	1.0456008881	1.0985937645	1.150226663	1.1960218337	1.2391710612	1.2807660283	1.3135812749	1.349301508	1.3768433713	1.397391063	1.4247756499	1.4472754186	1.4669997225	1.4837727819	1.4971597743	1.5107410491	1.5259968545	1.5283652512	1.5488574336	1.5561199001	1.5579887131	1.5671662503	1.5741419188	1.564871866	1.5800074012	1.587038579	1.5852067721	1.5922934592	1.5949764085	1.5965676751	1.592173189	1.5963178832	1.5979554075	1.5933018781	1.5940790082	1.5929780738	1.5950874271	1.5928485521	1.5940142474	1.5946618559	1.5922286983	1.5920066611	1.5901748543	1.5910259969	1.5861226755	1.5868257933	1.5840688315	1.5865760015	1.5767508558	1.5658340272	1.5590988991	1.5723378666	1.5708113609	1.5528170969	1.5658895365	1.5620131372	1.5567860117	1.5583032658	1.5503654362	1.5516976594	1.5475159589	1.550596725	1.5435470441	1.5607826811	1.539134055	1.525636044	1.5334258488	1.5301415487	1.5480432973	1.5259135905	1.5120547692	1.5111111111	1.5181700435	1.5151910445	1.5128781571	1.5092885558	1.5062170414	1.5062632991	1.504561014	1.5001572763	1.4947081136	1.4937459524	1.4885280785	1.4899435655	1.4836432602	1.4818299565	1.4680081414	1.4743547044	1.4734665556	1.4703025257	1.4680266445	1.4674993061	1.4594134518	1.4566934962	1.451623647	1.4529836248	1.4486724026	1.4422888334	1.439975946	1.4385327042	1.4383569248	1.4325099454	1.4293181608	1.4298454991	1.4275326117	1.4279951892	1.4172911463	1.4147192155	1.4001757794	1.4092700527	1.4039134055	1.40065686	1.3985290036	1.3972615413	1.3832454436	1.3918493848	1.3884170599	1.3871218429	1.379683597	1.3772689425	1.3742436858	1.3692571006	1.3688592839	1.3639374595	1.3615968175	1.3589046165	1.3427421593	1.3488204274	1.3356554723	1.3480247942	1.3400869646	1.3351558886	1.3320566195	1.319391248	1.3261356277	1.3250161902	1.3206679619	1.3069201591	1.3135535202	1.3080858544	1.3073272273	1.3029142381	1.2995929318	1.2937274493	1.2909982422	1.2902303636	1.2858821353	1.282847627	1.2807197706	1.2769266352	1.2710796558
