GFP (nM)	mCherry (nM)	0	2	4	6	8	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112	114	116	118	120	122	124	126	128	130	132	134	136	138	140	142	144	146	148	150	152	154	156	158	160	162	164	166	168	170	172	174	176	178	180	182	184	186	188	190	192	194	196	198	200	202	204	206	208	210	212	214	216	218	220	222	224	226	228	230	232	234	236	238	240	242	244	246	248	250	252	254	256	258	260	262	264	266	268	270	272	274	276	278	280	282	284	286	288	290	292	294	296	298	300	302	304	306	308	310	312	314	316	318	320	322	324	326	328	330	332	334	336	338	340	342	344	346	348	350	352	354	356	358	360
1	0	-0.014268671	0.0050345979	0.0238367931	0.0244730772	0.0097987752	0.009234073	0.0049232482	0.0052572974	0.0187147061	0.0142766245	0.0090590949	0.0301678199	0.0330947268	0.0263103476	0.0256740635	0.0274477054	0.0279487791	0.0335321721	0.0469418595	0.0446910045	0.0475860972	0.0481428458	0.0496937883	0.0489938758	0.0472759087	0.0611469021	0.0537500994	0.0595243776	0.0498926271	0.048015589	0.0456692913	0.0486280124	0.0487155015	0.0462260399	0.0496778812	0.0530183727	0.0425117315	0.0343434343	0.0509822636	0.037079456	0.0383281635	0.0446194226	0.0434900183	0.0453750099	0.0369760598	0.0407062754	0.0361170763	0.0324584427	0.0239799571	0.0364034041	0.0278294759	0.0207110475	0.0262387656	0.0130994989	0.0275829158	0.0283305496	0.0278931043	0.0202736022	0.013027917	0.0229937167	0.0260956017	0.0119541875	0.0197407142	0.0143879742	0.017990933	0.0199554601	0.0180068401	0.0145470453	0.0126620536	0.0146345343	0.0135448978	0.0191760121	0.0105543625	0.0070707071	0.0117553488	0.0143959278	0.0036586336	0.003260956	0.0108804581	0.0125586574	0	0.0023701583	0.0095760757	0.0017577348	0.001010101	0.0038017975	0.0100453352	0.015899149	0.0050823193	0.0057504176	0.0103316631	0.0032291418	0.0033882128	-0.0007078661	0.0071661497	0.0023144834	0.0007396803	0.008454625	-0.0006760519	-0.0003260956	0.0058060924	0.0004215382	0.003332538	0.0003499563	-0.0010657759	0.0037063549	-0.0006601448	0.0011294043	0.0040085898	0.0068002863	-0.0024417402	-0.0021474588	-0.0006999125	0.0024894615	-0.0017656884	0.0063707946	0.0010260081	-0.0015191283	0.0033643522	0.0057186034	-0.0001749781	-0.003030303	4.77213075638273E-05	-0.0014077786	0.0118269307	0.0047721308	-0.0018372703	0.0036347729	0.0046051062	-0.0009941939	0.0016145709	0.0034597948	-0.0019565736	0.0013680108	0.0028314642	-0.002409926	-0.0019804343	0.0007158196	0.0002067923	-0.0043346854	0.0093374692	0.003173467	-0.002712161	0.0043585461	-7.95355126063878E-06	-0.0037143084	0.0047880379	0.0057265569	-0.0046846417	0.0030859779	0.0077069912	0.010156685	0.0054322755	0.0018770381	0.0012168933	0.001630478	0.0115803706	0.0008987513	0.0049550624	0.0082716933	0.0027042074	-0.0049471089	-0.0011134972	0.0066332618	0.0057663247	0.0034041199	-0.0025053686	-0.0007158196	-0.0011930327	0.000691959	-0.0030223495	-0.0035790981	0.0048675734	-0.0008192158	-0.0042790106	0.0004294918	-0.0019645272	-0.0038256582	-0.0064185159	0.0009226119	0.0028473714
1	0	-0.0018372703	0.0091386304	0.0232641374	0.0193430367	0.0127336356	0.0104509664	0.0108884117	0.003563191	0.0050902728	0.0129165672	0.0154537501	0.0278533365	0.0225483178	0.0163365943	0.0230255309	0.0296428855	0.0396643601	0.0452477531	0.0416447944	0.0377714149	0.0399029667	0.0407460431	0.0480474032	0.0546011294	0.0382565816	0.0472600016	0.0405551579	0.0501710014	0.0505130041	0.0458681301	0.0505368647	0.0519923646	0.0524616241	0.0399984093	0.0473395371	0.0442376521	0.0518412471	0.0565815637	0.0463294361	0.0378668576	0.0375646226	0.0319732761	0.0440149527	0.0493835998	0.0347092977	0.0384395132	0.0372862483	0.0368965243	0.030255309	0.0368806172	0.0309552215	0.0234073014	0.0301519128	0.0246957767	0.0311381532	0.0284498529	0.0331424481	0.0294360932	0.0231686948	0.0209178398	0.021800684	0.0163684085	0.0278056152	0.0197566213	0.017298974	0.0148254195	0.0150242583	0.0116121848	0.0053129722	0.0137278295	0.0134017339	0.0085580212	-8.74890638670184E-05	0.0074524775	0.0168138074	0.0128927066	0.0069991251	0.0091068162	0.012335958	0.0137039688	0.0035790981	0.0114133461	0.0112940428	0.0094170047	0.002942814	0.0103634773	0.0044858029	0.0069036825	-0.0024576473	0.0034120735	0.0068718683	0.0080489939	0.0057026963	-0.0042631035	0.0023701583	0.0021235982	0.0069434503	-0.002640579	-0.0008430764	0.0118428378	-0.002712161	0.0010419152	-0.0048278056	0.0032848167	0.0004135847	-0.0021633659	0.0056629285	0.0036586336	-9.54426151276545E-05	0.0016463851	0.0066968902	0.0015986638	0.0004215382	0.0069036825	-0.0019088523	0.0049868766	0.0071820568	0.008526207	-0.0036745407	-0.0008430764	-0.002871232	-0.0013839179	-0.000691959	0.0046289668	-0.0027757894	-0.0007874016	0.0024337867	0.0070707071	-0.0007158196	0.0039926827	-0.0056390678	0.0012168933	0.0003579098	0.0037302155	0.0009464726	0.0077547125	-0.0047244094	0.0022667621	0.0026883003	-0.0029746282	0.000461306	0.0062753519	-0.00085103	0.0015429889	0.0052652509	-0.0003022349	-0.0052572974	0.0016941064	-0.0055674859	0.0033484451	-0.0023144834	0.006291259	0.0058856279	0.0090113736	-0.0016941064	5.5674858824466E-05	0.0097192396	6.36284100851021E-05	0.0024019725	0.0119700946	0.0047085023	0.0021395053	-0.0022826692	-0.0014077786	-0.0007714945	-0.0020838304	0.0019565736	0.0030780243	-0.0023860654	0.0028632785	-0.0037620297	0.0023144834	-0.0004294918	-0.0062594448	0.0017100135	0.0038177046	0.0014236857	-0.0070468464	-0.0022667621	-0.00170206	0.0060685596
1	0	-0.0120019089	-0.0039131472	0.0121212121	0.0228266921	0.0114690209	-0.0010021475	0.0025849042	0.0099339855	0.0082876004	0.0044221745	0.0183408892	0.0200509027	0.0194225722	0.0154060288	0.024600334	0.0308359182	0.0266603038	0.0309075002	0.0334367295	0.0305893581	0.0352978605	0.0427264774	0.0414618627	0.033746918	0.0403085978	0.0337548716	0.0430605265	0.043991092	0.0607253639	0.0405233437	0.0468384634	0.0446671439	0.0450886821	0.0389008192	0.0339298497	0.0405869721	0.0341127814	0.0407619502	0.0325141176	0.0274397518	0.0437445319	0.0345740873	0.034208224	0.0317744373	0.0338741748	0.0286089239	0.0273602163	0.0305973117	0.026533047	0.0253320608	0.0248707548	0.0192316869	0.0316789947	0.0148413267	0.0168933429	0.0284498529	0.0180625149	0.013807365	0.0103793844	0.0174819057	0.016217291	0.0123120974	0.018237493	0.0113815319	0.0202099738	0.0159707309	0.015596914	0.0068639147	0.0076513163	0.0123677722	0.0013043824	0.013735783	0.0022985763	0.0039211008	0.0067207508	0.0075001988	0.004183568	0.0091306768	0.0057981389	-0.0011134972	-0.0014077786	0.0122484689	0.0011771256	0.0035472839	0.0026564861	0.0049948302	0.0020997375	0.0062833055	0.0030780243	0.0050823193	0.0139823431	0.0056867892	0.003793844	-0.0008748906	-0.0026883003	0.0109520401	0.0024337867	0.0037779368	-0.004040404	0.0042790106	0.0008430764	0.000230653	-0.0041597073	-0.0006999125	0.0018929452	0.0011532649	0.000461306	-0.0060765132	0.0027678358	0.0028155571	0.0030223495	-0.003173467	-0.0008192158	-0.0031177921	-0.0030064424	0.0048198521	-0.0107372942	0.0035154697	0.0092102124	0.0034279806	0.0029269069	0.0018849916	0	-0.0044619423	0.0008271693	0.0016463851	-0.0065855404	-0.0039290543	-0.0098067287	0.0045653384	-0.00170206	0.0002147459	-0.0016702458	0.0038256582	-0.007142289	0.0004533524	0.0043903603	-0.0029348604	-0.0020838304	-0.0072218245	-0.0019963414	0.0040085898	-0.0002783743	0.0071263819	0.0050982264	-0.0025689971	0.0022110873	0.0027201145	-0.0033007238	0.007213871	0.0006442377	0.002091784	-0.0002942814	-0.002250855	-0.0039370079	-0.0014952676	0.0071661497	-0.0012487075	0.0014475463	0.0107293407	-0.0003260956	-0.0042790106	-0.0036188658	-0.0039847292	0.0029984888	0.0046925952	-0.0015270818	-0.0033643522	0.0008828442	-0.0008112622	0.002322437	0.0026246719	0.0019804343	-0.0051857154	-0.0007237732	-0.0037699833	-0.0024178796	-0.0049709695	0.0073252207	-0.002322437	-0.0003738169
2	0	0.0124552613	0.0211882606	0.0190169411	0.0179352581	0.0145470453	0.026604629	0.0205519765	0.0286407381	0.0247753122	0.0165911079	0.026692118	0.0500676052	0.0508709139	0.0573291975	0.059818659	0.055937326	0.0662451284	0.0740952835	0.097908216	0.103793844	0.0965242981	0.1069354967	0.0961504812	0.1082876004	0.1145629524	0.1012805218	0.105122087	0.1133062913	0.1174898592	0.121959755	0.1130040563	0.1424958244	0.1051459477	0.1070468464	0.1107134335	0.1055356717	0.0879662769	0.0974310029	0.1024974151	0.0990217132	0.0732124394	0.0822715342	0.0796627694	0.0902091784	0.0744134256	0.0801240754	0.0757734829	0.0690606856	0.0534955858	0.0676131393	0.0527638591	0.0641851587	0.0561838861	0.0488904796	0.065473634	0.0464646465	0.0435934145	0.0509345423	0.0303984729	0.0292690686	0.045923805	0.0356000954	0.0229857631	0.030183727	0.049415414	0.0238686073	0.0199634137	0.0283146425	0.0242344707	0.0183329357	0.0294838145	0.0235425117	0.015827567	0.0218643124	0.0090113736	0.0216972878	0.0091704446	0.011254275	0.0123598187	0.0133937803	0.0007396803	0.0232482303	0.0159707309	0.0060287919	0.008383043	0.0111270182	0.0070866142	0.0095760757	0.0088523026	0.0097590074	0.0080887616	0.0038256582	0.0070866142	0.0075479201	0.0074524775	0.0077308518	-0.0017418277	0.007834248	0.0010657759	0.0169012964	0.0110554363	0.0160025451	-0.0045891991	0.0063151197	0.0057822318	0.0085500676	0.0074047562	0.0026326255	0.0022667621	0.0109759007	0.0056470214	0.0002147459	0.002640579	7.95355126063796E-05	0.0079455977	0.0136721546	-0.0042949177	0.0100055675	0.0063230733	0.0061719558	-0.0004135847	-0.0002863278	0.0002863278	0.0023622047	-0.0045176171	0.0007635409	-0.0011930327	-0.0018054561	0.0033882128	-1.59071025212748E-05	0.0032370954	-0.0005726557	-0.0005010737	-0.0036188658	0.0059572099	-0.0039608685	-0.0016225245	-0.0020520162	-0.0086932315	-6.36284100851048E-05	-0.0003499563	0.0016463851	0.0038495188	0.0043108248	0.0046448739	-0.0055038575	0.0026644397	0.0020281556	0.0010657759	0.0054481826	0.0089477452	0.0071025213	-0.0002465601	-0.0006044699	-0.0023860654	0.0037063549	0.001558896	0.0046925952	0.0044301281	0.0027598823	0.0016066174	0.0021872266	-0.0023542512	-0.003793844	0.0053606935	-0.0082160185	-0.0039608685	-0.0008351229	0.0014316392	-0.001169172	-0.0029269069	-0.0005249344	0.0006680983	-0.0037540762	0.0018054561	0.0083989501	0.0049312018	-0.0040165434	-0.0013839179	0.0002067923	0.0023701583
2	0	-0.0081603436	0.0084705321	0.0215461704	0.0296031178	0.0152628649	0.0068718683	0.0085023463	0.017068321	0.030024656	0.0308359182	0.0366420107	0.0408812535	0.0560248151	0.0392189613	0.0510856597	0.0593732602	0.0709218166	0.0787719717	0.092324823	0.0965163445	0.1132267557	0.0916408176	0.1194146186	0.1049948302	0.125682017	0.1041915215	0.1205360694	0.1263580689	0.1163922691	0.1124870755	0.1214984491	0.1062753519	0.1049789231	0.0981229619	0.1083035075	0.1066094011	0.108844349	0.1056390678	0.1146186272	0.0909568122	0.0807524059	0.0977809592	0.0855086296	0.0842678756	0.0863676131	0.0668575519	0.0701662292	0.0671995546	0.0600572656	0.0676369999	0.0578223177	0.0602481508	0.0611230414	0.0455499881	0.0407778573	0.0537182852	0.0451204963	0.0510061242	0.0339537103	0.0387178875	0.0426787561	0.0341684562	0.0266125825	0.0337866858	0.0297303746	0.0319812296	0.0303189374	0.0301757735	0.0167422254	0.02506164	0.0237095363	0.0162650123	0.0187147061	0.0148970015	0.0093454227	0.0230573451	0.0114372067	0.0123757258	0.0162013839	0.007142289	0.004342639	0.0095999364	0.016376362	0.0110156685	0.0087170922	0.0057822318	0.010474827	0.0080489939	0.0038177046	0.0057742782	0.0095204009	0.0127734033	0.0115485564	0.00170206	0.0017736419	0.0051539012	0.0017418277	0.0087170922	-0.0011532649	0.008383043	0.0029905353	0.0076990376	0.0009226119	0.0041438002	0.004732363	0.0030382566	0.0080728545	0.0067843792	0.0080410403	0.0009782868	0.0057186034	0.0027678358	-0.0050186908	0.0074524775	0.0004056311	0.0120019089	0.0004294918	-0.0011850791	-0.0010737294	0.0090113736	0.0056231607	0.0001193033	0.0010498688	0.0031257456	-0.0041597073	0.0001908852	0.0058697208	0.0018213632	0.0018134097	0.001630478	0.0063867017	0.000691959	0.0025769506	-0.0006362841	-0.0001033962	-9.54426151276545E-05	-0.0008589835	-0.0014316392	0.0031177921	-0.0044062674	0.0058299531	-0.0009067048	-0.0017577348	0.0008748906	-0.0005806092	-0.0014236857	0.0009464726	0.0044858029	-0.0055913465	0.0037302155	0.0005965163	-0.0011771256	0.0092499801	-0.0030859779	0.0033882128	-0.0004931202	0.0004135847	0.0028314642	-0.0006999125	0.0035711445	-0.0005408415	0.0010180546	-0.0029984888	-0.0068480076	0.0013043824	-0.0093374692	-0.0036745407	-0.0034120735	-0.0039131472	-0.0010737294	0.003563191	-0.0022429015	0.0038415653	-0.0058299531	0.0032132347	0.0027201145	-0.0057583711	-0.002942814	-0.0036029587	-0.002322437	0.0054720433
2	0	-0.0073968027	-0.0031257456	0.0201861131	0.0267875606	0.0143322994	0.0188499165	0.0150401654	0.0154219359	0.0229857631	0.03126541	0.0325618389	0.0332935656	0.042042472	0.045852223	0.0528274875	0.0628091943	0.0552692277	0.0789151356	0.0972401177	0.082080649	0.0991251094	0.1019724807	0.1048834805	0.1037302155	0.1005806092	0.1068161934	0.1045971526	0.1201304382	0.0898830828	0.10170206	0.1191362443	0.1190646624	0.0987035711	0.0888888889	0.0928656645	0.1070627535	0.0863914738	0.1008669371	0.0919987274	0.0881651157	0.0826373976	0.0780959198	0.0809273841	0.0744611469	0.0632943609	0.0819852064	0.0648453034	0.0550544818	0.0609401098	0.059500517	0.0527877197	0.0478406108	0.0602879186	0.0494869959	0.0409687425	0.0409051141	0.0364352183	0.0411278136	0.0392030542	0.0436093216	0.0322039291	0.0404915295	0.0423367534	0.0187306132	0.0323311859	0.0246560089	0.0287202736	0.0264296508	0.0172671598	0.0232959516	0.0223972003	0.0163127336	0.0181420504	0.0117473952	0.0072218245	0.0203133699	0.0079296906	0.0082001113	0.0213314245	0.0109122723	0.0188499165	0.0091704446	0.0199793208	-0.0003181421	0.0120575837	0.0063787481	0.0156048676	0.0097669609	0.0143163923	0.0056311143	0.0130517776	0.0034438877	-0.0036268194	0.0103634773	0.0106020838	0.0079455977	0.0089000239	0.0088602561	0.0006840054	0.0117473952	-0.001471407	0.0118507914	-0.0033245844	0.0001113497	-0.0015191283	0.0071661497	0.0024894615	0.0055436252	0.0108088762	0.0020042949	0.0022349479	0.0083273682	-0.0062833055	0.0011294043	-0.002409926	0.0038654259	0.0048437127	-0.0004215382	0.0007635409	0.0013043824	0.0032370954	0.0021474588	-0.0040563111	0.0070866142	-0.0036824942	-0.0015986638	0.004963016	0.0030621172	-0.0002624672	0.005424322	0.0020440627	0.0054163684	-0.0047482701	7.95355126063878E-06	0.0055993001	0.0012168933	0.0003579098	-0.0074206633	-0.006593494	-0.0054561362	0.0005567486	0.0099498926	0.0012964289	0.0058379066	0.0049073411	0.0033723057	0.003881333	0.0046766881	-0.0017259206	0.0020361091	0.0050345979	0.0072218245	0.0078183409	-0.0013441502	0.0021713195	0.0001988388	0.0087170922	0.0085580212	0.0091545375	0.0040244969	0.0067605186	0.0011134972	0.0020122485	-0.0040085898	0.0029269069	-0.0026803468	-0.000548795	0.001169172	0.0029109998	-0.0039608685	0.0019883878	0.0020042949	-0.0023860654	-0.0018929452	-0.0021315517	0.0012884753	-0.0052095761	-0.001081683	-0.0013839179	-0.0049948302	0.0008907977
4	0	0.0214984491	0.03211644	0.028322596	0.026214905	0.0303189374	0.0350990217	0.0476815398	0.0514276625	0.0723057345	0.0751928736	0.1171955778	0.1284498529	0.1082796469	0.1327765847	0.1690765927	0.1536944246	0.1680585381	0.1847848564	0.2027280681	0.2130517776	0.2310029428	0.2393144039	0.2290066014	0.254076195	0.2246798696	0.2621967709	0.2444921658	0.2475701901	0.2541398234	0.2503062117	0.2611548556	0.2207349081	0.2435854609	0.2084784856	0.2212598425	0.21605822	0.2163127336	0.2115803706	0.2071741032	0.2256979241	0.20900342	0.1672870437	0.1702855325	0.1565417959	0.1579495745	0.141899308	0.1408653464	0.140571065	0.1318301121	0.1345899944	0.128783902	0.1183965641	0.1139266683	0.0940348366	0.0876401813	0.102942814	0.0799331902	0.0817386463	0.0759961823	0.0716933111	0.0665632705	0.0822715342	0.0669609481	0.0602004295	0.0583392985	0.0413346059	0.0568519844	0.0522945995	0.0497415096	0.044293327	0.039648453	0.0318937406	0.0371589915	0.031814205	0.0355205599	0.0278771972	0.0260399268	0.0223256184	0.0312813171	0.0167342719	0.0106418516	0.0243935417	0.0194066651	0.0164320369	0.0075956415	0.0239401893	0.0112860892	0.0141095999	0.0095919828	0.0192794083	0.0118110236	0.0042312893	0.014125507	0.0069752645	0.012176887	0.0251014078	0.0054402291	0.0212200748	0.0150242583	0.013966436	0.007285453	0.0097749145	0.0007078661	0.016288873	0.00790583	0.004183568	-0.0006601448	0.0029905353	0.0108565975	0.0019565736	0.0036427265	0.0103078024	0.0013282431	0.0111031576	-0.0011930327	0.0099498926	-0.0020042949	0.0071900103	0.0040563111	0.011254275	0.0003022349	0.0151037938	0.0009067048	0.0099498926	-0.0020838304	0.0090909091	0.0011214507	0.0014157321	-0.0049391553	-0.0015668496	-0.0016781993	0.0022429015	0.0042233357	0.0059253957	-0.0028950927	-0.0012884753	0.0042949177	-0.0023383441	-0.0025610435	-0.0056470214	0.0008430764	0.0067287044	-0.0022826692	0.0016622922	0.0014952676	-0.0002545136	-0.0058060924	0.0036984013	-0.001558896	0.0037063549	-0.0065855404	0.0054561362	0.0049789231	0.0031893741	0.0002624672	-0.0060049312	-0.0001829317	-0.0036586336	0.0019486201	0.007603595	-0.0022110873	0.0010419152	-0.0023065299	-0.0038654259	-0.0029666746	-0.0052572974	0.0013600573	0.0002147459	-0.0044142209	0.002481508	-0.0026167184	-0.0059413028	0.0027201145	0.0049073411	-0.0012487075	0.0014793605	0.0013282431	-0.0021554124	-0.0020997375	-0.0044221745	-0.0053606935
4	0	0.0197566213	0.0131233596	0.0224051539	0.0316312734	0.019939553	0.0326890957	0.0347490655	0.048015589	0.0607094568	0.0777936849	0.0830987036	0.0929690607	0.1369124314	0.1335639863	0.146241947	0.1642408335	0.1685118906	0.2016066174	0.2216495665	0.2134096874	0.2376123439	0.2637238527	0.2610037382	0.2760757178	0.2815398075	0.2648691641	0.2950051698	0.2781356876	0.2969458363	0.2701105544	0.2712479122	0.2791219279	0.2727670405	0.2426469419	0.2418754474	0.2565974708	0.2347331584	0.2326731886	0.2190328482	0.2157003102	0.2043505925	0.211095204	0.2010419152	0.1882287441	0.1768472123	0.1536387497	0.1492404359	0.14987672	0.1308518253	0.1155253321	0.1339616639	0.1281794321	0.1453272886	0.1095442615	0.0985206395	0.103491609	0.0823192555	0.1014236857	0.0808637557	0.082860097	0.0735067208	0.0823192555	0.0685596119	0.068432355	0.059198282	0.055937326	0.0554442058	0.0490734113	0.0427264774	0.0444364909	0.0409846496	0.039099658	0.0357989342	0.0355841883	0.0307007079	0.0423367534	0.0432195976	0.0318460192	0.0322118826	0.0266125825	0.0277976617	0.0257297383	0.0291418118	0.0121371192	0.0144197884	0.0187385668	0.0262705798	0.0272329595	0.0199952279	0.0177046051	0.0208542114	0.0155650998	0.016129802	0.0115087887	0.0193828044	0.0180147936	0.0113815319	0.0058776744	0.0091068162	0.0084784856	0.0080251332	0.0120893979	0.0052891116	0.0083432753	0.0047085023	0.0057822318	0.0078819693	0.0102203134	0.0069911716	0.0040085898	0.0082478327	0.0068480076	0.0029507675	0.0103634773	0.0075161059	0.0136005727	0.0020281556	0.00170206	-0.0004772131	0.0072218245	8.74890638670157E-05	-0.0011453114	-0.0001908852	0.0051300406	-0.0005090273	-0.0002386065	-0.0038892866	-0.0001352104	0.0016941064	0.0035154697	-0.0040642647	0.0086614173	0.001932713	0.004040404	0.0024735544	-0.0007158196	0.001932713	0.0007874016	0.0023303905	-0.0080330868	-0.0035711445	0.0017418277	-0.0046687346	0.0044062674	0.00085103	-0.0007078661	0.0037858904	0.0059413028	0.002091784	0.0056390678	-0.0035552374	0.0024019725	0.0037143084	-0.0001511175	0.000620377	-0.0054799968	0.0059969777	-0.0026803468	0.0021872266	0.0026883003	0.0012964289	0.0032132347	0.0031098385	0.0067764257	0.0049789231	0.0010419152	-0.0010021475	-0.003030303	-0.0056549749	0.0059651634	-0.0001113497	-0.0019804343	0.0009305655	-0.0007714945	-0.0067366579	0.0013839179	-0.0004135847	-0.0007476338	-0.0023144834	-0.0066173546	0.0028235107
4	0	0.0264137437	0.0165354331	0.0312097351	0.0217529627	0.0221347332	0.0360057266	0.0363477293	0.0446035155	0.0544579655	0.06958562	0.0719557783	0.10279965	0.1161775233	0.1314165275	0.1367215462	0.1709695379	0.1695617593	0.1870277579	0.218929452	0.2202576951	0.2232482303	0.2483575917	0.2752246878	0.2810864551	0.2821601845	0.2752962698	0.2935496699	0.2838383838	0.2727988547	0.2779368488	0.2860176569	0.2686232403	0.2751053846	0.2692992921	0.2219756621	0.2374135051	0.221872266	0.2425037779	0.2161457091	0.2120019089	0.2253956892	0.2007874016	0.1934542273	0.1856517935	0.1929531536	0.1561918397	0.1603833612	0.144842122	0.1366261036	0.1433468544	0.1171160423	0.1171319494	0.1008748906	0.0991410165	0.1176091625	0.105973117	0.0807444524	0.0935019486	0.0820567884	0.0703332538	0.0837190806	0.0691004534	0.0688220791	0.0593891673	0.0681698879	0.0641931122	0.0479758212	0.05012328	0.0454227312	0.0527638591	0.0456851984	0.0434900183	0.0337707787	0.0450568679	0.0451841247	0.0296906069	0.02761473	0.0178398155	0.0340491529	0.033054959	0.0156525889	0.019549829	0.0223892468	0.0146424879	0.0082160185	0.0128211246	0.0151992365	0.0240117713	0.016750179	0.0175853018	0.0152708184	0.0184522389	0.0208303508	0.0193589438	0.0163047801	0.0213075638	0.0050107373	0.0180943291	0.0081762507	0.0175216734	0.0059969777	0.0131392667	-0.0078103873	0.0108009226	0.0086932315	0.0078819693	0.005281158	0.0050664122	0.0186351706	0.006132188	0.0015907103	0.0052732045	0.0140221109	0.0132267557	0.0093533763	0.0088284419	0.0041278931	0.0092181659	0.006824147	0.010777062	8.74890638670157E-05	0.0085421141	0.0008589835	-0.0023383441	0.0065298656	0.0047959914	0.0001431639	0.0024417402	0.0051777619	0.0046846417	0.0018531774	0.0040085898	-0.0035790981	0.0037302155	-0.003420027	0.0034359341	0.0095442615	0.0022190408	0.00085103	-0.0104430128	-0.0006124234	0.0037699833	-0.0003499563	0.0049550624	0.0055038575	0.0001272568	-0.0016543387	-0.0012168933	0.0019724807	0.0071900103	0.0020520162	0.0110395291	-0.002250855	0.0065537262	-0.0008351229	0.0032530025	0.0081921578	0.0024735544	-0.004660781	-0.0001511175	0.0059969777	0.0030223495	0.0072377316	0.0023860654	0.0019963414	-0.0042312893	0.0058458602	-0.0006680983	9.54426151276545E-05	-0.0005010737	0.0031575599	-0.0014793605	0.0007158196	-0.0020361091	0.0011373578	0.0039370079	0.0001113497	0.0006124234	-0.0006442377	-0.0043505925	0.0002226994
6	0	0.0198997853	0.0191362443	0.0379861608	0.037930486	0.0314881094	0.0409687425	0.0505209576	0.0915612821	0.0949733556	0.1176648373	0.1300087489	0.1868368727	0.1947506562	0.1953869403	0.2375805297	0.2801797503	0.2770062833	0.35717808	0.3482064742	0.3648055357	0.3842122007	0.3736498847	0.4040722182	0.4218881731	0.3967151833	0.4086296031	0.3978445876	0.4281476179	0.4224051539	0.4120337231	0.3989024099	0.3881173944	0.4025689971	0.3643839975	0.3570985445	0.369744691	0.3316312734	0.3440547204	0.3024258331	0.2894058697	0.3038017975	0.2918157958	0.2764893025	0.2586415334	0.2518412471	0.228322596	0.2290066014	0.2064503301	0.1879503698	0.2024019725	0.1919669132	0.1722023383	0.1631750577	0.1609878311	0.1809353376	0.1582040881	0.1520639466	0.1430843872	0.1188021952	0.1164081763	0.1253320608	0.1036029587	0.1115087887	0.0972798855	0.0877594846	0.0878390201	0.093478088	0.0682096556	0.0716694504	0.0679153742	0.0771812614	0.0667064344	0.0614729977	0.0746440786	0.0605503857	0.0509265887	0.0523582279	0.0455420345	0.0385110952	0.0376362046	0.0316630876	0.0399984093	0.0401415732	0.0394337072	0.0262546727	0.0263262547	0.0284418993	0.0283305496	0.0311858745	0.0349081365	0.0241947029	0.011484928	0.014745884	0.020719001	0.03126541	0.0207349081	0.0282748747	0.0277101726	0.008915931	0.0177841406	0.0211723535	0.0119700946	0.011254275	0.0159548238	0.0155650998	0.013966436	0.0093136085	0.0133221984	0.0186351706	0.0192078263	0.0109202259	0.0068480076	0.0059810705	0.0012248469	0.0112860892	0.0189692198	0.0041040325	0.0131313131	0.0064185159	0.0111588324	0.0003022349	0.0066571224	0.0056311143	0.003101885	0.0020440627	0.0113815319	0.0051539012	0.001630478	0.0069911716	0.010864551	-0.0049709695	0.0080171797	0.0047482701	-0.0003022349	0.008772767	0.0001670246	0.0087091386	-0.0002386065	0.0045255707	0.0031575599	0.0066889366	0.0014793605	-0.003260956	0.0055754394	0.0068877754	0.0012725682	0.0090352342	0.0065855404	-0.0038256582	0.0038733795	0.0084466714	0.0092261195	0.0028076036	0.0049312018	0.0066809831	0.0041597073	0.0039449614	0.0023065299	0.0070309393	0.0067446115	0.0009862404	-0.0003658634	0.0009623797	-0.0018372703	0.0079376442	0.0006362841	-0.0047959914	0.0016225245	0.0004772131	0.000071582	0.0026803468	0.0071104748	0.0041278931	-0.0013441502	0.0021395053	-0.0054163684	0.0039290543	0.002640579	0.0021713195	0.0002067923	-0.0018293168
